global_multidim_rank,name,url,composite_value_index,popularity_score,maintenance_score,unity_integrity_score,code_scale_score,security_surface_score,project_relevance_score,noise_penalty_score,multidim_tier,priority_tier,final_score,stars,forks,age_since_push_days,pushed_at,open_issues,structure_status,is_standard_unity_project,is_active_2y,is_recent_1y,cs_file_count,scene_count,has_packages_manifest,size_kb,security_surface_total,surface_network,surface_file,surface_archive,surface_deser,surface_dynamic,surface_native,negative_noise_signal,positive_project_signal,negative_filter_hit,positive_project_hit,description,topics,language,license,selection_note,selection_reason
14,qhdwight/voxelfield,https://github.com/qhdwight/voxelfield,94.12,81.13,92,100,100,100,92,0,A_active_standard_high_confidence,A_priority,95.39,57,14,77,2026-05-12T04:43:47Z,0,standard_unity_project,TRUE,TRUE,TRUE,78,4,TRUE,97258,41,10,7,0,17,7,0,FALSE,TRUE,FALSE,TRUE,Server authoritative multiplayer shooter game with fully destructible terrain I wrote in highschool during COVID,"game, game-development, marching-cubes, multiplayer, unity, voxel",C#,GPL-3.0,"composite=94.12; dimensions=pop:81.13,maint:92,unity:100,scale:100,surface:100,relevance:92,penalty:0; tier=A_active_standard_high_confidence","57 stars; pushed 77d ago; standard_unity_project; game/app keywords; security-surface:network,file,deser,dynamic"
15,RE-SS3D/SS3D,https://github.com/RE-SS3D/SS3D,93.48,100,92,100,100,79.8,92,0,A_active_standard_high_confidence,A_priority,107.16,285,159,59,2026-05-30T19:31:37Z,77,standard_unity_project,TRUE,TRUE,TRUE,1001,58,TRUE,246141,32,5,12,0,0,9,6,FALSE,TRUE,FALSE,TRUE,"Space Station 3D, another remake of SS13, but with an extra D.","3d, csharp, game, gamedev, open-source, opensource, roleplaying-game, simulator, space, space-station, space-station-13, space-station-3d, ss13, ss3d, unity, unity-3d, unity3d",C#,,"composite=93.48; dimensions=pop:100,maint:92,unity:100,scale:100,surface:79.8,relevance:92,penalty:0; tier=A_active_standard_high_confidence","285 stars; pushed 59d ago; standard_unity_project; game/app keywords; security-surface:network,file,dynamic,native"
16,TrackLab/ViRe,https://github.com/TrackLab/ViRe,93.2,100,68,100,100,100,92,0,A_active_standard_high_confidence,A_priority,93.07,214,9,226,2025-12-14T18:28:08Z,5,standard_unity_project,TRUE,TRUE,TRUE,218,7,TRUE,169160,75,10,19,0,3,27,16,FALSE,TRUE,FALSE,TRUE,A open-source VR mocap studio built in Unity,"headsets, motion-capture, motion-tracking, patreon, support-vire, unity, unity3d, vire, virtual, virtual-reality, vr",C#,GPL-3.0,"composite=93.2; dimensions=pop:100,maint:68,unity:100,scale:100,surface:100,relevance:92,penalty:0; tier=A_active_standard_high_confidence","214 stars; pushed 226d ago; standard_unity_project; game/app keywords; security-surface:network,file,deser,dynamic,native"
17,sh-akira/VirtualMotionCapture,https://github.com/sh-akira/VirtualMotionCapture,92.4,100,68,100,93.86,100,92,0,A_active_standard_high_confidence,A_priority,106.74,818,126,265,2025-11-05T10:13:23Z,8,standard_unity_project,TRUE,TRUE,TRUE,69,1,TRUE,66385,72,8,17,0,1,38,8,FALSE,TRUE,FALSE,TRUE,VRゲーム中にモデルをコントロール,"c-sharp, steamvr, unity, vr, vrm, wpf",C#,MIT,"composite=92.4; dimensions=pop:100,maint:68,unity:100,scale:93.86,surface:100,relevance:92,penalty:0; tier=A_active_standard_high_confidence","818 stars; pushed 265d ago; standard_unity_project; game/app keywords; security-surface:network,file,deser,dynamic,native"
18,HFrajacomo/Draconic-Revolution,https://github.com/HFrajacomo/Draconic-Revolution,92.38,75.43,92,100,100,96.4,92,0,A_active_standard_high_confidence,A_priority,93.51,31,7,45,2026-06-13T19:37:49Z,38,standard_unity_project,TRUE,TRUE,TRUE,296,9,TRUE,479106,37,8,14,0,0,1,14,FALSE,TRUE,FALSE,TRUE,A 3D Voxel-Based RPG with procedural world generation made with Unity,,C#,,"composite=92.38; dimensions=pop:75.43,maint:92,unity:100,scale:100,surface:96.4,relevance:92,penalty:0; tier=A_active_standard_high_confidence","31 stars; pushed 45d ago; standard_unity_project; game/app keywords; security-surface:network,file,dynamic,native"
19,susy-bakaa/ffxiv-raid-sim,https://github.com/susy-bakaa/ffxiv-raid-sim,91.49,66.48,92,100,100,100,92,0,A_active_standard_high_confidence,A_priority,100.13,29,7,37,2026-06-21T16:48:04Z,0,standard_unity_project,TRUE,TRUE,TRUE,354,18,TRUE,78799,95,7,9,2,1,74,2,FALSE,TRUE,FALSE,TRUE,An external program made in Unity game engine to simulate and practice FFXIV raid mechanics.,,C#,GPL-3.0,"composite=91.49; dimensions=pop:66.48,maint:92,unity:100,scale:100,surface:100,relevance:92,penalty:0; tier=A_active_standard_high_confidence","29 stars; pushed 37d ago; standard_unity_project; game/app keywords; security-surface:network,file,archive,deser,dynamic,native"
20,Gothic-Unity-Project/Gothic-Unity,https://github.com/Gothic-Unity-Project/Gothic-Unity,91.06,64.12,92,100,100,100,92,0,A_active_standard_high_confidence,A_priority,85.42,30,1,36,2026-06-22T03:50:00Z,99,standard_unity_project,TRUE,TRUE,TRUE,363,11,TRUE,24721,46,10,8,0,1,16,11,FALSE,TRUE,FALSE,TRUE,Community rebuild of classical Gothic 1 and 2 in Unity engine. Currently focusing on a native VR implementation.,"game, gothic1, gothic2, modding, unity3d, vr",C#,GPL-3.0,"composite=91.06; dimensions=pop:64.12,maint:92,unity:100,scale:100,surface:100,relevance:92,penalty:0; tier=A_active_standard_high_confidence","30 stars; pushed 36d ago; standard_unity_project; game/app keywords; security-surface:network,file,deser,dynamic,native"
21,QuestNav/QuestNav,https://github.com/QuestNav/QuestNav,89.62,100,92,100,89.99,67,92,0,A_active_standard_high_confidence,A_priority,101.66,141,78,70,2026-05-19T02:24:25Z,25,standard_unity_project,TRUE,TRUE,TRUE,52,1,TRUE,85607,25,4,5,0,1,4,11,FALSE,TRUE,FALSE,TRUE,A project that enables streaming Meta Quest headset pose to an FRC robot over Network Tables. Built in Unity.,"first-robotics-competition, frc, frc-robot, meta, oculus, quest, robotics, vr",C#,MIT,"composite=89.62; dimensions=pop:100,maint:92,unity:100,scale:89.99,surface:67.0,relevance:92,penalty:0; tier=A_active_standard_high_confidence","141 stars; pushed 70d ago; standard_unity_project; game/app keywords; security-surface:network,file,deser,dynamic,native"
22,KevinSmall/blockchain3d,https://github.com/KevinSmall/blockchain3d,89.01,96.74,48,100,100,100,92,0,A_active_standard_high_confidence,A_priority,98.23,119,27,438,2025-05-16T08:52:44Z,0,standard_unity_project,TRUE,TRUE,FALSE,221,8,TRUE,87139,153,124,3,0,2,6,18,FALSE,TRUE,FALSE,TRUE,Open-source 3D and VR Blockchain Visualisations,"bitcoin, bitcoin-cash, blockchain, c-sharp, csharp, ethereum, graph-visualization, nethereum, unity, unity3d, virtual-reality, visualizations, vr, vr-analysis",C#,MIT,"composite=89.01; dimensions=pop:96.74,maint:48,unity:100,scale:100,surface:100,relevance:92,penalty:0; tier=A_active_standard_high_confidence","119 stars; pushed 438d ago; standard_unity_project; game/app keywords; security-surface:network,file,deser,dynamic,native"
23,robotflow-initiative/rfuniverse,https://github.com/robotflow-initiative/rfuniverse,88.67,94.86,48,100,100,100,92,0,A_active_standard_high_confidence,A_priority,90.93,146,14,515,2025-02-28T02:13:19Z,0,standard_unity_project,TRUE,TRUE,FALSE,199,3,TRUE,964435,131,75,32,1,5,16,2,FALSE,TRUE,FALSE,TRUE,Robot physics simulation and RL platform based on Unity / 基于Unity的机器人物理仿真和RL平台,simulator,C#,Apache-2.0,"composite=88.67; dimensions=pop:94.86,maint:48,unity:100,scale:100,surface:100,relevance:92,penalty:0; tier=A_active_standard_high_confidence","146 stars; pushed 515d ago; standard_unity_project; game/app keywords; security-surface:network,file,archive,deser,dynamic,native"
24,leeveel/GeekServer,https://github.com/leeveel/GeekServer,87.8,100,48,90,100,100,92,0,A_active_standard_high_confidence,A_priority,103.9,794,169,581,2024-12-24T06:00:00Z,7,standard_unity_project,TRUE,TRUE,FALSE,192,1,FALSE,93358,98,8,0,0,36,26,28,FALSE,TRUE,FALSE,TRUE,基于.Netcore的开发效率高，性能强，跨平台，持久化层透明，支持不停服热更新的游戏服务器。Best for your unity game server!,"actor, akka-net, csharp, game, gameserver, hotfix, netcore, orleans, server, unity3d",C#,MIT,"composite=87.8; dimensions=pop:100,maint:48,unity:90,scale:100,surface:100,relevance:92,penalty:0; tier=A_active_standard_high_confidence","794 stars; pushed 581d ago; standard_unity_project; game/app keywords; security-surface:network,deser,dynamic,native"
25,Alt-Org/Altzone,https://github.com/Alt-Org/Altzone,87.64,66.88,92,100,100,80.4,92,0,A_active_standard_high_confidence,A_priority,85.31,22,4,36,2026-06-22T11:10:17Z,471,standard_unity_project,TRUE,TRUE,TRUE,1001,9,TRUE,701221,38,6,2,0,2,27,1,FALSE,TRUE,FALSE,TRUE,Altzone is an open-source project focused on creating a mobile multiplayer game using Unity and Photon Quantum. ??,"internship, mobilegame, multiplayer, photon-quantum, unity, unity2d, voluntary",C#,,"composite=87.64; dimensions=pop:66.88,maint:92,unity:100,scale:100,surface:80.4,relevance:92,penalty:0; tier=A_active_standard_high_confidence","22 stars; pushed 36d ago; standard_unity_project; game/app keywords; security-surface:network,file,deser,dynamic,native"
26,Stridemann/Unity-XR-on-Linux-for-Meta-Quest,https://github.com/Stridemann/Unity-XR-on-Linux-for-Meta-Quest,86.92,65.16,82,100,80.59,100,92,0,A_active_standard_high_confidence,A_priority,84.87,30,3,128,2026-03-22T02:56:18Z,3,standard_unity_project,TRUE,TRUE,TRUE,21,2,TRUE,43449,131,11,8,0,0,16,96,FALSE,TRUE,FALSE,TRUE,Run Unity 6 VR projects on Linux with a Meta Quest 3 headset via SteamVR + ALVR,,C#,MIT,"composite=86.92; dimensions=pop:65.16,maint:82,unity:100,scale:80.59,surface:100,relevance:92,penalty:0; tier=A_active_standard_high_confidence","30 stars; pushed 128d ago; standard_unity_project; game/app keywords; security-surface:network,file,dynamic,native"
27,OpenHogwarts/hogwarts,https://github.com/OpenHogwarts/hogwarts,86.36,100,30,100,100,100,92,0,C_standard_popular_or_older,A_priority,97.07,834,180,978,2023-11-23T06:52:19Z,17,standard_unity_project,TRUE,FALSE,FALSE,396,19,TRUE,1351865,37,17,6,0,2,9,3,FALSE,TRUE,FALSE,TRUE,Hogwarts (Harry Potter) open sandbox game made in Unity,"game, harry, harry-potter, hogwarts, potter, unity",C#,NOASSERTION,"composite=86.36; dimensions=pop:100,maint:30,unity:100,scale:100,surface:100,relevance:92,penalty:0; tier=C_standard_popular_or_older","834 stars; pushed 978d ago; standard_unity_project; game/app keywords; security-surface:network,file,deser,dynamic,native"
