global_multidim_rank,name,url,composite_value_index,popularity_score,maintenance_score,unity_integrity_score,code_scale_score,security_surface_score,project_relevance_score,noise_penalty_score,multidim_tier,priority_tier,final_score,stars,forks,age_since_push_days,pushed_at,open_issues,structure_status,is_standard_unity_project,is_active_2y,is_recent_1y,cs_file_count,scene_count,has_packages_manifest,size_kb,security_surface_total,surface_network,surface_file,surface_archive,surface_deser,surface_dynamic,surface_native,negative_noise_signal,positive_project_signal,negative_filter_hit,positive_project_hit,description,topics,language,license,selection_note,selection_reason
286,Abo7mood/First_2DGame,https://github.com/Abo7mood/First_2DGame,67.2,31.88,48,100,100,53.2,86,0,A_active_standard_high_confidence,B_priority,73.99,5,1,536,2025-02-07T11:48:57Z,0,standard_unity_project,TRUE,TRUE,FALSE,248,50,TRUE,87175,20,2,6,2,3,7,0,FALSE,TRUE,FALSE,TRUE,"an exciting 2D side-scrolling game inspired by the classic Mario-style gameplay. Featuring multiple levels, challenging enemies, collectible coins, and Arabic language support, this game offers a fun and immersive experience for players on both PC and mobile platforms.","2d, fox, game, mario-style, side-scrolling, unity",C#,MIT,"composite=67.2; dimensions=pop:31.88,maint:48,unity:100,scale:100,surface:53.2,relevance:86,penalty:0; tier=A_active_standard_high_confidence","5 stars; pushed 536d ago; standard_unity_project; game/app keywords; security-surface:network,file,archive,deser,dynamic"
287,lucasgaspar/ninja-battle-nakama,https://github.com/lucasgaspar/ninja-battle-nakama,67.17,68.72,12,100,100,59.2,92,12,E_low_priority_or_noisy,B_priority,63.58,26,12,1632,2022-02-07T02:55:38Z,0,standard_unity_project,TRUE,FALSE,FALSE,59,7,TRUE,28197,22,8,0,0,1,12,1,FALSE,TRUE,FALSE,TRUE,Unity deterministic multiplayer online game that implements basic rollback,,C#,Apache-2.0,"composite=67.17; dimensions=pop:68.72,maint:12,unity:100,scale:100,surface:59.2,relevance:92,penalty:12; tier=E_low_priority_or_noisy","26 stars; pushed 1632d ago; standard_unity_project; game/app keywords; security-surface:network,deser,dynamic,native"
288,James-Frowen/NetworkPositionSync,https://github.com/James-Frowen/NetworkPositionSync,67.01,76.8,68,90,70.68,18,92,0,A_active_standard_high_confidence,B_priority,71.54,50,10,236,2025-12-04T23:24:34Z,0,standard_unity_project,TRUE,TRUE,TRUE,21,0,TRUE,591,6,6,0,0,0,0,0,FALSE,TRUE,FALSE,TRUE,Network Transform using Snapshot Interpolation and other techniques to best sync position and rotation over the network.,"bitpacking, csharp, game, mirage-networking, mirror, mirror-networking, networking, snapshot-interpolation, unity, unity3d",C#,MIT,"composite=67.01; dimensions=pop:76.8,maint:68,unity:90,scale:70.68,surface:18.0,relevance:92,penalty:0; tier=A_active_standard_high_confidence",50 stars; pushed 236d ago; standard_unity_project; game/app keywords; security-surface:network
289,MrPio/Blockstorm,https://github.com/MrPio/Blockstorm,66.97,44.4,48,100,99.04,41.4,86,0,A_active_standard_high_confidence,B_priority,74.14,7,3,433,2025-05-21T14:24:36Z,2,standard_unity_project,TRUE,TRUE,FALSE,82,2,TRUE,431365,14,1,4,1,6,2,0,FALSE,TRUE,FALSE,TRUE,An FPS game in the style of Minecraft. This is my first attempt at writing a voxel engine and multiplayer system in Unity.,,C#,NOASSERTION,"composite=66.97; dimensions=pop:44.4,maint:48,unity:100,scale:99.04,surface:41.4,relevance:86,penalty:0; tier=A_active_standard_high_confidence","7 stars; pushed 433d ago; standard_unity_project; game/app keywords; security-surface:network,file,archive,deser,dynamic"
290,danieljharris/PARSEC,https://github.com/danieljharris/PARSEC,66.94,26.46,12,100,100,100,86,12,E_low_priority_or_noisy,B_priority,70.68,5,0,1098,2023-07-26T14:12:38Z,0,standard_unity_project,TRUE,FALSE,FALSE,1001,45,TRUE,797255,98,6,6,1,0,18,67,FALSE,TRUE,FALSE,TRUE,A collaborative virtual reality application for visualising network connections,"cyber-security, cybersecurity, data-visualisation, data-visualization, immersive-analytics, unity, virtual-reality, vr",C#,MIT,"composite=66.94; dimensions=pop:26.46,maint:12,unity:100,scale:100,surface:100,relevance:86,penalty:12; tier=E_low_priority_or_noisy","5 stars; pushed 1098d ago; standard_unity_project; game/app keywords; security-surface:network,file,archive,dynamic,native"
291,Andremani/2D-MultiplayerAndroidTest,https://github.com/Andremani/2D-MultiplayerAndroidTest,66.94,26.46,12,100,100,100,86,12,E_low_priority_or_noisy,B_priority,73.78,5,0,1104,2023-07-20T05:57:57Z,0,standard_unity_project,TRUE,FALSE,FALSE,381,27,TRUE,29364,197,166,5,0,1,22,3,FALSE,TRUE,FALSE,TRUE,Practice with multiplayer game for Android. Created with Unity and Mirror,,C#,,"composite=66.94; dimensions=pop:26.46,maint:12,unity:100,scale:100,surface:100,relevance:86,penalty:12; tier=E_low_priority_or_noisy","5 stars; pushed 1104d ago; standard_unity_project; game/app keywords; security-surface:network,file,deser,dynamic,native"
292,SkS-GameDev/EndlessDungeon,https://github.com/SkS-GameDev/EndlessDungeon,66.94,44,12,100,100,84.2,86,12,E_low_priority_or_noisy,B_priority,66.14,10,2,1121,2023-07-03T16:21:35Z,0,standard_unity_project,TRUE,FALSE,FALSE,437,6,TRUE,54918,33,11,8,0,0,14,0,FALSE,TRUE,FALSE,TRUE,"VR game on Unity in the ""Roguelike"" genre about conquering a dungeon.","csharp, dungeon, dungeon-crawler, dungeon-crawler-game, game, game-development, games, roguelike, roguelike-game, unity, unity-3d, unity-game, unity-game-project, unity-vr, unity3d, unity3d-games, virtual-reality, vr",C#,MIT,"composite=66.94; dimensions=pop:44.0,maint:12,unity:100,scale:100,surface:84.2,relevance:86,penalty:12; tier=E_low_priority_or_noisy","10 stars; pushed 1121d ago; standard_unity_project; game/app keywords; security-surface:network,file,dynamic"
293,ima-games/ATD,https://github.com/ima-games/ATD,66.84,100,12,100,100,29.4,92,12,C_standard_popular_or_older,A_priority,76.72,208,56,2199,2020-07-20T06:37:27Z,0,standard_unity_project,TRUE,FALSE,FALSE,639,4,TRUE,307173,10,9,0,0,0,1,0,FALSE,TRUE,FALSE,TRUE,Unity RPG+塔防3D游戏,,C#,,"composite=66.84; dimensions=pop:100,maint:12,unity:100,scale:100,surface:29.4,relevance:92,penalty:12; tier=C_standard_popular_or_older","208 stars; pushed 2199d ago; standard_unity_project; game/app keywords; security-surface:network,dynamic"
294,josebasierra/voxel-planets,https://github.com/josebasierra/voxel-planets,66.82,100,12,100,89.04,36.4,92,12,C_standard_popular_or_older,B_priority,69.64,153,18,1701,2021-11-30T17:30:20Z,2,standard_unity_project,TRUE,FALSE,FALSE,34,3,TRUE,33685,13,0,0,0,0,0,13,FALSE,TRUE,FALSE,TRUE,Generation of planets with dynamic terrain,"game-development, octree, unity, voxels",C#,MIT,"composite=66.82; dimensions=pop:100,maint:12,unity:100,scale:89.04,surface:36.4,relevance:92,penalty:12; tier=C_standard_popular_or_older",153 stars; pushed 1701d ago; standard_unity_project; game/app keywords; security-surface:native
295,TheActualTwinkle/SnaP,https://github.com/TheActualTwinkle/SnaP,66.78,69.65,30,100,100,29.4,92,0,E_low_priority_or_noisy,B_priority,64.68,27,7,754,2024-07-04T12:34:16Z,4,standard_unity_project,TRUE,FALSE,FALSE,422,3,TRUE,87014,12,2,3,0,0,7,0,FALSE,TRUE,FALSE,TRUE,Texas Hold'em Poker Multiplayer on Unity,"game, unity",C#,Apache-2.0,"composite=66.78; dimensions=pop:69.65,maint:30,unity:100,scale:100,surface:29.4,relevance:92,penalty:0; tier=E_low_priority_or_noisy","27 stars; pushed 754d ago; standard_unity_project; game/app keywords; security-surface:network,file,dynamic"
296,dizmo-git/pixels-and-blood,https://github.com/dizmo-git/pixels-and-blood,66.78,20.47,30,100,100,77.6,86,0,E_low_priority_or_noisy,B_priority,60.87,3,0,809,2024-05-10T17:33:10Z,0,standard_unity_project,TRUE,FALSE,FALSE,306,23,TRUE,56412,28,11,7,2,3,5,0,FALSE,TRUE,FALSE,TRUE,Roguelike game made with Unity Engine and C#,"csharp, game-development, pixel, roguelike, unity, unity2d",C#,,"composite=66.78; dimensions=pop:20.47,maint:30,unity:100,scale:100,surface:77.6,relevance:86,penalty:0; tier=E_low_priority_or_noisy","3 stars; pushed 809d ago; standard_unity_project; game/app keywords; security-surface:network,file,archive,deser,dynamic"
297,vitrivr/vitrivr-vr,https://github.com/vitrivr/vitrivr-vr,66.66,52.89,48,100,100,31.6,86,0,A_active_standard_high_confidence,B_priority,66.24,11,4,711,2024-08-16T09:16:23Z,3,standard_unity_project,TRUE,TRUE,FALSE,101,3,TRUE,3730,13,2,4,0,0,7,0,FALSE,TRUE,FALSE,TRUE,vitrivr-VR is a virtual reality interface for the vitrivr multimedia retrieval system.,"multimedia-retrieval, unity, unity3d, virtual-reality",C#,MIT,"composite=66.66; dimensions=pop:52.89,maint:48,unity:100,scale:100,surface:31.6,relevance:86,penalty:0; tier=A_active_standard_high_confidence","11 stars; pushed 711d ago; standard_unity_project; game/app keywords; security-surface:network,file,dynamic"
298,federicodangelo/CubeWorld,https://github.com/federicodangelo/CubeWorld,66.65,100,30,100,81.61,13.4,92,0,C_standard_popular_or_older,A_priority,82.76,447,104,1021,2023-10-11T20:23:07Z,0,standard_unity_project,TRUE,FALSE,FALSE,28,1,TRUE,2722,5,3,2,0,0,0,0,FALSE,TRUE,FALSE,TRUE,Minecraft like game made in Unity,"c-sharp, game, minecraft, unity3d",C#,MIT,"composite=66.65; dimensions=pop:100,maint:30,unity:100,scale:81.61,surface:13.4,relevance:92,penalty:0; tier=C_standard_popular_or_older","447 stars; pushed 1021d ago; standard_unity_project; game/app keywords; security-surface:network,file"
299,duyd486/Last-Altar,https://github.com/duyd486/Last-Altar,66.6,20.47,82,100,90.9,35.8,86,0,A_active_standard_high_confidence,B_priority,72.57,3,0,145,2026-03-05T16:31:11Z,0,standard_unity_project,TRUE,TRUE,TRUE,39,3,TRUE,296451,13,8,1,0,0,4,0,FALSE,TRUE,FALSE,TRUE,Horror multiplayer game using Unity Gaming Service and Netcode,,C#,,"composite=66.6; dimensions=pop:20.47,maint:82,unity:100,scale:90.9,surface:35.8,relevance:86,penalty:0; tier=A_active_standard_high_confidence","3 stars; pushed 145d ago; standard_unity_project; game/app keywords; security-surface:network,file,dynamic"
300,rjth/Punchkeyboard,https://github.com/rjth/Punchkeyboard,66.6,100,12,90,88.62,44.6,92,12,C_standard_popular_or_older,A_priority,79.94,272,47,2297,2020-04-13T23:10:18Z,4,standard_unity_project,TRUE,FALSE,FALSE,47,1,FALSE,62750,17,2,5,0,0,1,9,FALSE,TRUE,FALSE,TRUE,"Punchkeyboard is an open-source keyboard for virtual reality, enhanced with autocomplete and next word prediction functionality for a swift typing experience.","autocomplete, csharp, keyboard, unity, virtual-reality",C#,MIT,"composite=66.6; dimensions=pop:100,maint:12,unity:90,scale:88.62,surface:44.6,relevance:92,penalty:12; tier=C_standard_popular_or_older","272 stars; pushed 2297d ago; standard_unity_project; game/app keywords; security-surface:network,file,dynamic,native"
301,chillhammer/Birdman-the-Renegade,https://github.com/chillhammer/Birdman-the-Renegade,66.58,79.45,12,100,100,46.6,92,12,E_low_priority_or_noisy,B_priority,70.64,46,17,2770,2018-12-27T21:18:01Z,0,standard_unity_project,TRUE,FALSE,FALSE,322,7,TRUE,72583,18,7,4,0,0,7,0,FALSE,TRUE,FALSE,TRUE,Third-person shooter featuring modular AI and procedural dungeon,"game, third-person-shooter, unity",C#,,"composite=66.58; dimensions=pop:79.45,maint:12,unity:100,scale:100,surface:46.6,relevance:92,penalty:12; tier=E_low_priority_or_noisy","46 stars; pushed 2770d ago; standard_unity_project; game/app keywords; security-surface:network,file,dynamic"
302,lamnguyenkhoa/SilkMelody,https://github.com/lamnguyenkhoa/SilkMelody,66.57,74.96,12,100,100,50.6,92,12,E_low_priority_or_noisy,B_priority,71.6,42,11,1243,2023-03-03T16:49:47Z,0,standard_unity_project,TRUE,FALSE,FALSE,221,33,TRUE,21771,19,2,7,2,3,5,0,FALSE,TRUE,FALSE,TRUE,Bootleg 2D Metroidvania Souls-like game,"game, gamedev, hollow-knight, platformer, silksong, unity, unity2d",C#,MIT,"composite=66.57; dimensions=pop:74.96,maint:12,unity:100,scale:100,surface:50.6,relevance:92,penalty:12; tier=E_low_priority_or_noisy","42 stars; pushed 1243d ago; standard_unity_project; game/app keywords; security-surface:network,file,archive,deser,dynamic"
303,bsimser/Micropolis,https://github.com/bsimser/Micropolis,66.57,94.3,12,90,100,42.2,92,12,C_standard_popular_or_older,B_priority,73.7,93,18,2174,2020-08-14T01:04:34Z,4,standard_unity_project,TRUE,FALSE,FALSE,203,32,FALSE,19181,17,5,8,0,0,4,0,FALSE,TRUE,FALSE,TRUE,Unity version of Micropolis rewritten from the ground up,"game, game-development, micropolis, simcity, simulation, unity, unityengine",C#,NOASSERTION,"composite=66.57; dimensions=pop:94.3,maint:12,unity:90,scale:100,surface:42.2,relevance:92,penalty:12; tier=C_standard_popular_or_older","93 stars; pushed 2174d ago; standard_unity_project; game/app keywords; security-surface:network,file,dynamic"
304,rebeccaansems/F-in-the-B,https://github.com/rebeccaansems/F-in-the-B,66.53,34.15,12,90,100,100,86,12,E_low_priority_or_noisy,B_priority,64.17,6,1,1203,2023-04-12T14:41:31Z,0,standard_unity_project,TRUE,FALSE,FALSE,322,7,FALSE,196146,57,22,15,0,0,10,10,FALSE,TRUE,FALSE,TRUE,"If you enjoyed Fill in the Blank games as a kid, enjoy trivia, or just enjoy the feeling of completing puzzles, F in the B is for you! Fast and minimalist, F in the B can easily be played anywhere, by anyone, and at anytime!","android, game, ios, mobile-game, unity",C#,,"composite=66.53; dimensions=pop:34.15,maint:12,unity:90,scale:100,surface:100,relevance:86,penalty:12; tier=E_low_priority_or_noisy","6 stars; pushed 1203d ago; standard_unity_project; game/app keywords; security-surface:network,file,dynamic,native"
305,Sky0023/Virtual-Museum,https://github.com/Sky0023/Virtual-Museum,66.52,51.88,12,100,100,75,86,12,E_low_priority_or_noisy,C_candidate,59.7,12,5,2123,2020-10-04T18:25:35Z,0,standard_unity_project,TRUE,FALSE,FALSE,176,6,TRUE,426960,29,6,11,2,0,4,6,FALSE,TRUE,FALSE,TRUE,A Virtual Reality (VR) Museum Depicting the Marvelous History of Mother Earth,"earth, museum, nasa, space-science, unity, virtual, virtual-reality",C#,,"composite=66.52; dimensions=pop:51.88,maint:12,unity:100,scale:100,surface:75.0,relevance:86,penalty:12; tier=E_low_priority_or_noisy","12 stars; pushed 2123d ago; standard_unity_project; game/app keywords; security-surface:network,file,archive,dynamic,native"
306,Bara-basi/multi-agent-ai-town-simulator,https://github.com/Bara-basi/multi-agent-ai-town-simulator,66.44,28.26,92,100,96.98,15,86,0,A_active_standard_high_confidence,B_priority,72.35,5,0,60,2026-05-29T09:13:47Z,1,standard_unity_project,TRUE,TRUE,TRUE,31,14,TRUE,266837,6,1,0,0,0,5,0,FALSE,TRUE,FALSE,TRUE,"LLM-driven multi-agent simulation where AI characters plan, trade and survive in a dynamic town.","agent, ai-agents, llm, multi-agent, unity",C#,,"composite=66.44; dimensions=pop:28.26,maint:92,unity:100,scale:96.98,surface:15.0,relevance:86,penalty:0; tier=A_active_standard_high_confidence","5 stars; pushed 60d ago; standard_unity_project; game/app keywords; security-surface:network,dynamic"
307,plaidpants/ANKH-VR,https://github.com/plaidpants/ANKH-VR,66.38,61.19,30,100,87.44,43.2,92,0,E_low_priority_or_noisy,B_priority,60.74,24,2,821,2024-04-28T20:30:25Z,6,standard_unity_project,TRUE,FALSE,FALSE,35,2,TRUE,16063,17,5,9,0,0,0,3,FALSE,TRUE,FALSE,TRUE,Ultima 4 in VR,"oculus, pixel-art, port, quest, retro, rpg, ultima, unity, vr",C#,,"composite=66.38; dimensions=pop:61.19,maint:30,unity:100,scale:87.44,surface:43.2,relevance:92,penalty:0; tier=E_low_priority_or_noisy","24 stars; pushed 821d ago; standard_unity_project; game/app keywords; security-surface:network,file,native"
308,amegakure-studio/starkane-gameJam-unity,https://github.com/amegakure-studio/starkane-gameJam-unity,66.38,23.33,30,100,100,73,86,0,E_low_priority_or_noisy,B_priority,61.5,3,0,865,2024-03-15T01:21:10Z,2,standard_unity_project,TRUE,FALSE,FALSE,179,18,TRUE,521038,28,1,4,0,1,10,12,FALSE,TRUE,FALSE,TRUE,Turn-based RPG game - Unity + Starknet Dojo,"cairo, dojo, starknet, unity",C#,MIT,"composite=66.38; dimensions=pop:23.33,maint:30,unity:100,scale:100,surface:73.0,relevance:86,penalty:0; tier=E_low_priority_or_noisy","3 stars; pushed 865d ago; standard_unity_project; game/app keywords; security-surface:network,file,deser,dynamic,native"
309,edvartGB/unity_asv_sim,https://github.com/edvartGB/unity_asv_sim,66.33,86.4,30,100,87.82,20,92,0,C_standard_popular_or_older,B_priority,73.41,65,15,737,2024-07-21T00:51:16Z,2,standard_unity_project,TRUE,FALSE,FALSE,36,2,TRUE,92453,8,0,4,0,0,0,4,FALSE,TRUE,FALSE,TRUE,"Simulation platform for Unmanned/Autonomous surface vehicles implemented in Unity, with ROS 2 integration.",,C#,,"composite=66.33; dimensions=pop:86.4,maint:30,unity:100,scale:87.82,surface:20.0,relevance:92,penalty:0; tier=C_standard_popular_or_older","65 stars; pushed 737d ago; standard_unity_project; game/app keywords; security-surface:file,native"
310,kodie-artner/AR-RViz,https://github.com/kodie-artner/AR-RViz,66.29,93.59,30,100,100,5.4,92,0,C_standard_popular_or_older,B_priority,74.55,102,11,991,2023-11-10T04:53:45Z,8,standard_unity_project,TRUE,FALSE,FALSE,50,29,TRUE,69692,2,1,0,0,0,1,0,FALSE,TRUE,FALSE,TRUE,Unity Project for visualization and control of ROS systems in augmented reality,,C#,MIT,"composite=66.29; dimensions=pop:93.59,maint:30,unity:100,scale:100,surface:5.4,relevance:92,penalty:0; tier=C_standard_popular_or_older","102 stars; pushed 991d ago; standard_unity_project; game/app keywords; security-surface:network,dynamic"
311,Rimaethon/Gem-Match3,https://github.com/Rimaethon/Gem-Match3,66.26,91.64,48,100,100,47,54,35,B_active_standard_review_noise,reject_noise,57.31,95,13,525,2025-02-18T09:08:09Z,3,standard_unity_project,TRUE,TRUE,FALSE,172,4,TRUE,155810,18,8,7,0,0,2,1,TRUE,TRUE,TRUE,TRUE,"A match3 game with boosters, IAP, event system, UI Animations , Level Design tools and AWS integration.","match3, match3-game, mobile-game, unity, unity3d-game",C#,NOASSERTION,"composite=66.26; dimensions=pop:91.64,maint:48,unity:100,scale:100,surface:47.0,relevance:54,penalty:35; tier=B_active_standard_review_noise","95 stars; pushed 525d ago; standard_unity_project; game/app keywords; negative keyword penalty; security-surface:network,file,dynamic,native"
312,Venkateshajay/Project_X,https://github.com/Venkateshajay/Project_X,66.23,29.18,82,100,100,20.2,86,0,A_active_standard_high_confidence,B_priority,74.92,4,1,132,2026-03-18T08:13:07Z,0,standard_unity_project,TRUE,TRUE,TRUE,80,41,TRUE,1963500,8,2,1,0,0,5,0,FALSE,TRUE,FALSE,TRUE,A 3D Multiplayer horror survival game made in unity,,C#,,"composite=66.23; dimensions=pop:29.18,maint:82,unity:100,scale:100,surface:20.2,relevance:86,penalty:0; tier=A_active_standard_high_confidence","4 stars; pushed 132d ago; standard_unity_project; game/app keywords; security-surface:network,file,dynamic"
313,pepeizq/pepeizqs-cities,https://github.com/pepeizq/pepeizqs-cities,66.2,85.34,48,90,86.76,13.8,92,0,A_active_standard_high_confidence,A_priority,79.61,62,21,445,2025-05-09T10:45:16Z,0,standard_unity_project,TRUE,TRUE,FALSE,41,1,FALSE,423649,5,0,3,0,2,0,0,FALSE,TRUE,FALSE,TRUE,It's a simulator game made in Unity where you build a city inspired by games like Sim City or Cities Skylines,"csharp, unity",C#,LGPL-3.0,"composite=66.2; dimensions=pop:85.34,maint:48,unity:90,scale:86.76,surface:13.8,relevance:92,penalty:0; tier=A_active_standard_high_confidence","62 stars; pushed 445d ago; standard_unity_project; game/app keywords; security-surface:file,deser"
314,SoftwareGuy/Ignorance,https://github.com/SoftwareGuy/Ignorance,66.18,100,30,90,72.17,26.2,92,0,C_standard_popular_or_older,A_priority,80.42,254,29,754,2024-07-04T01:24:37Z,6,standard_unity_project,TRUE,FALSE,FALSE,11,2,FALSE,17635,9,7,0,0,0,1,1,FALSE,TRUE,FALSE,TRUE,Ignorance utilizes the power of ENet to provide a reliable UDP networking transport for Mirror Networking.,"enet, enet-csharp, essential, game, ignorance, llapi, mirror, networking, reliable-udp, udp, unity, unity-llapi-transport, unity3d",C#,NOASSERTION,"composite=66.18; dimensions=pop:100,maint:30,unity:90,scale:72.17,surface:26.2,relevance:92,penalty:0; tier=C_standard_popular_or_older","254 stars; pushed 754d ago; standard_unity_project; game/app keywords; security-surface:network,dynamic,native"
315,qtamle/Thuc-Tap-Tot-Nghiep,https://github.com/qtamle/Thuc-Tap-Tot-Nghiep,66.15,30.71,48,100,100,49,86,0,A_active_standard_high_confidence,B_priority,71.98,7,0,432,2025-05-22T07:13:30Z,0,standard_unity_project,TRUE,TRUE,FALSE,299,98,TRUE,118536,19,2,1,0,2,14,0,FALSE,TRUE,FALSE,TRUE,"This project is a mobile roguelite game developed with Unity, featuring online multiplayer gameplay using Unity Netcode. The game integrates various Unity Gaming Services (UGS) like Cloud Save, Authentication","2d-game, cloud-save, netcode-for-gameobjects, unity, unitygamingservices",C#,MIT,"composite=66.15; dimensions=pop:30.71,maint:48,unity:100,scale:100,surface:49.0,relevance:86,penalty:0; tier=A_active_standard_high_confidence","7 stars; pushed 432d ago; standard_unity_project; game/app keywords; security-surface:network,file,deser,dynamic"
316,MaciejSzybiak/q2unity,https://github.com/MaciejSzybiak/q2unity,66.07,97.69,12,100,99.7,27.8,92,12,C_standard_popular_or_older,B_priority,72.62,125,19,1184,2023-05-01T16:02:01Z,2,standard_unity_project,TRUE,FALSE,FALSE,86,2,TRUE,7538,12,0,5,0,0,7,0,FALSE,TRUE,FALSE,TRUE,An attempt to bring Quake II movement physics to Unity engine.,"bsp-maps, game, quake2, unity, unity-engine",C#,GPL-2.0,"composite=66.07; dimensions=pop:97.69,maint:12,unity:100,scale:99.7,surface:27.8,relevance:92,penalty:12; tier=C_standard_popular_or_older","125 stars; pushed 1184d ago; standard_unity_project; game/app keywords; security-surface:file,dynamic"
317,crimsix-7/The-Midnight-Labyrinth-Game,https://github.com/crimsix-7/The-Midnight-Labyrinth-Game,66.02,20.47,30,100,100,73.8,86,0,E_low_priority_or_noisy,B_priority,61.1,3,0,1054,2023-09-08T03:37:18Z,0,standard_unity_project,TRUE,FALSE,FALSE,149,14,TRUE,100056,28,2,11,2,5,8,0,FALSE,TRUE,FALSE,TRUE,"This Unity maze game has 5 levels, each with unique design and difficulty that progressively builds upon acquired skills. Players navigate a 2D maze while being chased by an AI bot with limited vision due to a fog of war effect. Achievements based on time were added, targeting puzzle and adventure game enthusiasts.",,C#,,"composite=66.02; dimensions=pop:20.47,maint:30,unity:100,scale:100,surface:73.8,relevance:86,penalty:0; tier=E_low_priority_or_noisy","3 stars; pushed 1054d ago; standard_unity_project; game/app keywords; security-surface:network,file,archive,deser,dynamic"
318,ginogeorgiev/WerDuBist,https://github.com/ginogeorgiev/WerDuBist,66.01,58.96,12,100,100,62.2,92,12,E_low_priority_or_noisy,C_candidate,57.48,20,5,1635,2022-02-04T14:23:39Z,0,standard_unity_project,TRUE,FALSE,FALSE,183,11,TRUE,140843,23,12,1,0,0,10,0,FALSE,TRUE,FALSE,TRUE,"RPG, Open World, Personality Test with nice graphics","big5-ocean-traits, open-world-game, rpg-game, unity",C#,,"composite=66.01; dimensions=pop:58.96,maint:12,unity:100,scale:100,surface:62.2,relevance:92,penalty:12; tier=E_low_priority_or_noisy","20 stars; pushed 1635d ago; standard_unity_project; game/app keywords; security-surface:network,file,dynamic"
319,chilscher/Cityscapes,https://github.com/chilscher/Cityscapes,65.94,23.76,82,100,95.13,26.8,86,0,A_active_standard_high_confidence,B_priority,73.18,4,0,171,2026-02-07T19:59:24Z,0,standard_unity_project,TRUE,TRUE,TRUE,40,6,TRUE,171231,9,7,1,0,1,0,0,FALSE,TRUE,FALSE,TRUE,"Cityscapes Mobile Puzzle Game, made with Unity and C#, featuring randomly-generated Skyscrapers puzzles.","csharp, unity",C#,,"composite=65.94; dimensions=pop:23.76,maint:82,unity:100,scale:95.13,surface:26.8,relevance:86,penalty:0; tier=A_active_standard_high_confidence","4 stars; pushed 171d ago; standard_unity_project; game/app keywords; security-surface:network,file,deser"
320,ArcadeLink/ArcadeLink.ArcadeSide,https://github.com/ArcadeLink/ArcadeLink.ArcadeSide,65.84,39.02,30,100,100,56.2,86,0,E_low_priority_or_noisy,C_candidate,59.51,10,0,765,2024-06-23T15:06:26Z,3,standard_unity_project,TRUE,FALSE,FALSE,1001,148,TRUE,262602,22,0,3,0,3,15,1,FALSE,TRUE,FALSE,TRUE,街机端客户端，使用Unity实现,,C#,,"composite=65.84; dimensions=pop:39.02,maint:30,unity:100,scale:100,surface:56.2,relevance:86,penalty:0; tier=E_low_priority_or_noisy","10 stars; pushed 765d ago; standard_unity_project; game/app keywords; security-surface:file,deser,dynamic,native"
321,B0XEY/Unity-Planets,https://github.com/B0XEY/Unity-Planets,65.83,61.54,48,100,97.81,17.2,92,0,A_active_standard_high_confidence,A_priority,75.67,30,3,680,2024-09-16T21:07:51Z,0,standard_unity_project,TRUE,TRUE,FALSE,92,1,TRUE,75367,7,0,2,0,0,3,2,FALSE,TRUE,FALSE,TRUE,Make procedural voxel planets in unity,"atmosphere, game-development, mit-license, octree, planets, unity, urp, voxel-terrain, voxels",C#,MIT,"composite=65.83; dimensions=pop:61.54,maint:48,unity:100,scale:97.81,surface:17.2,relevance:92,penalty:0; tier=A_active_standard_high_confidence","30 stars; pushed 680d ago; standard_unity_project; game/app keywords; security-surface:file,dynamic,native"
322,shrinivask007/AR_Furniture_App,https://github.com/shrinivask007/AR_Furniture_App,65.76,44.99,48,100,87.99,42,86,0,A_active_standard_high_confidence,B_priority,64.76,6,7,725,2024-08-02T09:54:49Z,0,standard_unity_project,TRUE,TRUE,FALSE,17,12,TRUE,394346,14,14,0,0,0,0,0,FALSE,TRUE,FALSE,TRUE,AR furniture app using UNITY 3D,"android-app, arfoundation, arkit, unity3d",C#,,"composite=65.76; dimensions=pop:44.99,maint:48,unity:100,scale:87.99,surface:42.0,relevance:86,penalty:0; tier=A_active_standard_high_confidence",6 stars; pushed 725d ago; standard_unity_project; game/app keywords; security-surface:network
323,opencodeiiita/PixDash,https://github.com/opencodeiiita/PixDash,65.59,68.32,82,100,68.23,2.4,86,0,A_active_standard_high_confidence,B_priority,71.76,8,61,178,2026-01-31T13:19:50Z,3,standard_unity_project,TRUE,TRUE,TRUE,6,4,TRUE,86996,1,0,0,0,0,1,0,FALSE,TRUE,FALSE,TRUE,"PixDash is a simple 2D platformer built in Unity, made to help beginners build a complete game step by step.",,C#,,"composite=65.59; dimensions=pop:68.32,maint:82,unity:100,scale:68.23,surface:2.4,relevance:86,penalty:0; tier=A_active_standard_high_confidence",8 stars; pushed 178d ago; standard_unity_project; game/app keywords; security-surface:dynamic
