project_path,project_type,build_method,target_framework,unity_version,note,host_dotnet_version,host_msbuild_version,host_unity_version
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\InWorldz\InWorldz.VivoxVoice\InWorldz.VivoxVoice.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\InWorldz\JWT\InWorldz.JWT.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\MOSES\FreeswitchVoice\MOSES.FreeSwitchVoice.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\ApplicationPlugins\CreateCommsManager\OpenSim.ApplicationPlugins.CreateCommsManager.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\ApplicationPlugins\LoadRegions\OpenSim.ApplicationPlugins.LoadRegions.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\ApplicationPlugins\RegionModulesController\OpenSim.ApplicationPlugins.RegionModulesController.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\ApplicationPlugins\ScriptEngine\OpenSim.ApplicationPlugins.ScriptEngine.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\Base\OpenSim.Base.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\Client\Linden\OpenSim.Client.Linden.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\Data\OpenSim.Data.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\Data\MySQL\OpenSim.Data.MySQL.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\Data\MySQL\Tests\OpenSim.Data.MySQL.Tests.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\Data\Null\OpenSim.Data.Null.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\Framework\OpenSim.Framework.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\Framework\AssetLoader\Filesystem\OpenSim.Framework.AssetLoader.Filesystem.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\Framework\Communications\OpenSim.Framework.Communications.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\Framework\Configuration\HTTP\OpenSim.Framework.Configuration.HTTP.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\Framework\Configuration\XML\OpenSim.Framework.Configuration.XML.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\Framework\Console\OpenSim.Framework.Console.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\Framework\RegionLoader\Filesystem\OpenSim.Framework.RegionLoader.Filesystem.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\Framework\RegionLoader\Web\OpenSim.Framework.RegionLoader.Web.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\Framework\Serialization\OpenSim.Framework.Serialization.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\Framework\Servers\OpenSim.Framework.Servers.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\Framework\Servers\HttpServer\OpenSim.Framework.Servers.HttpServer.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\Framework\Servers\HttpServer\Tests\OpenSim.Framework.Servers.HttpServer.Tests.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\Framework\Servers\Tests\OpenSim.Framework.Servers.Tests.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\Framework\Statistics\OpenSim.Framework.Statistics.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\Framework\Tests\OpenSim.Framework.Tests.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\Grid\Framework\OpenSim.Grid.Framework.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\Grid\GridServer\OpenSim.Grid.GridServer.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\Grid\GridServer.Modules\OpenSim.Grid.GridServer.Modules.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\Grid\MessagingServer\OpenSim.Grid.MessagingServer.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\Grid\MessagingServer.Modules\OpenSim.Grid.MessagingServer.Modules.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\Grid\UserServer\OpenSim.Grid.UserServer.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\Grid\UserServer.Modules\OpenSim.Grid.UserServer.Modules.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\Region\ClientStack\OpenSim.Region.ClientStack.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\Region\ClientStack\LindenUDP\OpenSim.Region.ClientStack.LindenUDP.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\Region\Communications\Local\OpenSim.Region.Communications.Local.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\Region\Communications\OGS1\OpenSim.Region.Communications.OGS1.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\Region\CoreModules\OpenSim.Region.CoreModules.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\Region\CoreModules\OpenSim.Region.CoreModules.Tests.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\Region\CoreModules\World\Terrain\DefaultEffects\OpenSim.Region.CoreModules.World.Terrain.DefaultEffects.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\Region\Framework\OpenSim.Region.Framework.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\Region\Framework\OpenSim.Region.Framework.Tests.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\Region\FrameworkTests\OpenSim.Region.FrameworkTests.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\Region\Interfaces\OpenSim.Region.Interfaces.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\Region\OptionalModules\OpenSim.Region.OptionalModules.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\Region\Physics\BasicPhysicsPlugin\OpenSim.Region.Physics.BasicPhysicsPlugin.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\Region\Physics\ConvexDecompositionDotNet\OpenSim.Region.Physics.ConvexDecompositionDotNet.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\Region\Physics\Manager\OpenSim.Region.Physics.Manager.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\Region\Physics\Meshing\OpenSim.Region.Physics.Meshing.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\Region\ScriptEngine\OpenSim.Region.ScriptEngine.Tests.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\Region\ScriptEngine\Shared\OpenSim.Region.ScriptEngine.Shared.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\Region\ScriptEngine\Shared\Api\Implementation\OpenSim.Region.ScriptEngine.Shared.Api.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\Region\ScriptEngine\Shared\Api\Runtime\OpenSim.Region.ScriptEngine.Shared.Api.Runtime.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\ScriptEngine\Shared\OpenSim.ScriptEngine.Shared.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\ScriptEngine\Shared.Script\OpenSim.ScriptEngine.Shared.Script.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\Servers\Base\OpenSim.Servers.Base.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\Services\AssetService\OpenSim.Services.AssetService.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\Services\Base\OpenSim.Services.Base.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\Services\Interfaces\OpenSim.Services.Interfaces.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\Services\UserService\OpenSim.Services.UserService.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSim\TestSuite\OpenSim.TestSuite.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\OpenSimProfile\Modules\OpenSimProfile.Modules.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\ThirdParty\C5.src\C5\C5.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\ThirdParty\C5.src\docNet\docNet.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\ThirdParty\C5.src\nunit\nunit.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\ThirdParty\C5.src\PreProcess\PreProcess.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\ThirdParty\C5.src\UserGuideExamples\UserGuideExamples.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\ThirdParty\HttpServer\HttpServer\HttpServer.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\ThirdParty\HttpServer\HttpServer.MVC\HttpServer.MVC.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\ThirdParty\HttpServer\HttpServer.Sample\HttpServer.Sample.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\ThirdParty\HttpServer\HttpServer.Test\HttpServer.Test.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\ThirdParty\HttpServer\Tutorial\Tutorial.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\ThirdParty\SmartThreadPool\SmartThreadPoolCE.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\ThirdParty\SmartThreadPool\SmartThreadPoolMono.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\ThirdParty\SmartThreadPool\SmartThreadPoolSL.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\halsafar_BeatSaberSongBrowser\SongBrowserPlugin\SongBrowser.csproj,dotnet_project,dotnet,net48,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\I5UCC_VRCTextboxSTT\TextboxSTT_Launcher\obs_only_Launcher\obs_only_Launcher.csproj,dotnet_project,dotnet,net4.8.1,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\I5UCC_VRCTextboxSTT\TextboxSTT_Launcher\TextboxSTT_Launcher\TextboxSTT_Launcher.csproj,dotnet_project,dotnet,net4.8.1,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\I5UCC_VRCTextboxSTT\TextboxSTT_Launcher\VRCaptions_Launcher\VRCaptions_Launcher.csproj,dotnet_project,dotnet,net4.8.1,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\iamtomhewitt_jet-dash-vr,unity,unity,,2021.3.2f1,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\iamtomhewitt_vr-pacman,unity,unity,,2021.3.2f1,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\icosa-gallery_open-brush,unity,unity,,2022.3.34f1,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\immersivecognition_unity-experiment-framework,unity,unity,,2017.3.0f3,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\intiface_intiface-game-haptics-router\dependencies\SharpMonoInjector\src\ExampleAssembly\ExampleAssembly.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\intiface_intiface-game-haptics-router\dependencies\SharpMonoInjector\src\SharpMonoInjector\SharpMonoInjector.csproj,dotnet_project,dotnet,netstandard2.0,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\intiface_intiface-game-haptics-router\dependencies\SharpMonoInjector\src\SharpMonoInjector.Console\SharpMonoInjector.Console.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\intiface_intiface-game-haptics-router\dependencies\SharpMonoInjector\src\SharpMonoInjector.Gui\SharpMonoInjector.Gui.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\intiface_intiface-game-haptics-router\GHRUnityVRModNet35\GHRUnityVRModNet35.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\intiface_intiface-game-haptics-router\GHRUnityVRModNet45\GHRUnityVRModNet45.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\intiface_intiface-game-haptics-router\GHRUwpGamingInputPayload\GHRUwpGamingInputPayload.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\intiface_intiface-game-haptics-router\GHRXInputModInterface\GHRXInputModInterface.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\intiface_intiface-game-haptics-router\GHRXInputModPayload\GHRXInputModPayload.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\intiface_intiface-game-haptics-router\IntifaceGameHapticsRouter\IntifaceGameHapticsRouter.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\Jamy4000_VRDF,unity,unity,,2019.3.5f1,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\jcorvinus_HandshakeVR,unity,unity,,2019.4.31f1,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\JPMMaia_interactive-collaboration-platform-in-AR\CooP AR,unity,unity,,5.6.1f1,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\JScott_ViveGrip,unity,unity,,2019.1.0f1,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\JWdori_VR-MCT\Project_NCT,unity,unity,,2021.3.21f1,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\knah_VRCMods\AdvancedSafety\AdvancedSafety.csproj,dotnet_project,dotnet,net472,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\knah_VRCMods\CameraMinus\CameraMinus.csproj,dotnet_project,dotnet,net472,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\knah_VRCMods\FavCat\FavCat.csproj,dotnet_project,dotnet,net472,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\knah_VRCMods\Finitizer\Finitizer.csproj,dotnet_project,dotnet,net472,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\knah_VRCMods\FriendsPlusHome\FriendsPlusHome.csproj,dotnet_project,dotnet,net472,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\knah_VRCMods\IKTweaks\IKTweaks.csproj,dotnet_project,dotnet,net472,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\knah_VRCMods\IntegrityCheckGenerator\IntegrityCheckGenerator.csproj,dotnet_project,dotnet,netstandard2.0,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\knah_VRCMods\IntegrityCheckWeaver\IntegrityCheckWeaver.csproj,dotnet_project,dotnet,net472,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\knah_VRCMods\JoinNotifier\JoinNotifier.csproj,dotnet_project,dotnet,net472,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\knah_VRCMods\LagFreeScreenshots\LagFreeScreenshots.csproj,dotnet_project,dotnet,net472,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\knah_VRCMods\MirrorResolutionUnlimiter\MirrorResolutionUnlimiter.csproj,dotnet_project,dotnet,net472,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\knah_VRCMods\ParticleAndBoneLimiterSettings\ParticleAndBoneLimiterSettings.csproj,dotnet_project,dotnet,net472,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\knah_VRCMods\ScaleGoesBrr\ScaleGoesBrr.csproj,dotnet_project,dotnet,net472,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\knah_VRCMods\Styletor\Styletor.csproj,dotnet_project,dotnet,net472,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\knah_VRCMods\TrueShaderAntiCrash\TrueShaderAntiCrash.csproj,dotnet_project,dotnet,net472,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\knah_VRCMods\Turbones\Turbones.csproj,dotnet_project,dotnet,net472,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\knah_VRCMods\UIExpansionKit\UIExpansionKit.csproj,dotnet_project,dotnet,net472,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\knah_VRCMods\ViewPointTweaker\ViewPointTweaker.csproj,dotnet_project,dotnet,net472,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\kurotu_VRCQuestTools,unity,unity,,2019.4.31f1,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\leapmotion_Paint,unity,unity,,2018.1.0f2,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\Louis-de-Lavenne-de-Choulot_ALGOSUP_2022_Project_4_F\Project B3,unity,unity,,2021.2.17f1,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\Mastergalen_Supermarket-Sim,unity,unity,,2017.2.0f3,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\mateo-a_holbertonschool-csharp\0x00-csharp-hello_world\10-copy_cut_paste\10-copy_cut_paste.csproj,dotnet_project,dotnet,netcoreapp2.1,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\mateo-a_holbertonschool-csharp\0x00-csharp-hello_world\100-hello_error\100-hello_error.csproj,dotnet_project,dotnet,netcoreapp2.1,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\mateo-a_holbertonschool-csharp\0x00-csharp-hello_world\11-concat_edges\11-concat_edges.csproj,dotnet_project,dotnet,netcoreapp2.1,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\mateo-a_holbertonschool-csharp\0x00-csharp-hello_world\3-writeline\3-writeline.csproj,dotnet_project,dotnet,netcoreapp2.1,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\mateo-a_holbertonschool-csharp\0x00-csharp-hello_world\4-print_integer\4-print_integer.csproj,dotnet_project,dotnet,netcoreapp2.1,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\mateo-a_holbertonschool-csharp\0x00-csharp-hello_world\5-print_float\5-print_float.csproj,dotnet_project,dotnet,netcoreapp2.1,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\mateo-a_holbertonschool-csharp\0x00-csharp-hello_world\6-print_string\6-print_string.csproj,dotnet_project,dotnet,netcoreapp2.1,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\mateo-a_holbertonschool-csharp\0x00-csharp-hello_world\7-concat\7-concat.csproj,dotnet_project,dotnet,netcoreapp2.1,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\mateo-a_holbertonschool-csharp\0x00-csharp-hello_world\8-print_variables\8-print_variables.csproj,dotnet_project,dotnet,netcoreapp2.1,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\mateo-a_holbertonschool-csharp\0x00-csharp-hello_world\9-print_specifiers\9-print_specifiers.csproj,dotnet_project,dotnet,netcoreapp2.1,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\mateo-a_holbertonschool-csharp\0x01-csharp-ifelse_loops_methods\0-positive_or_negative\0-positive_or_negative.csproj,dotnet_project,dotnet,netcoreapp2.1,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\mateo-a_holbertonschool-csharp\0x01-csharp-ifelse_loops_methods\1-last_digit\1-last_digit.csproj,dotnet_project,dotnet,netcoreapp2.1,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\mateo-a_holbertonschool-csharp\0x01-csharp-ifelse_loops_methods\10-print_line\10-print_line.csproj,dotnet_project,dotnet,netcoreapp2.1,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\mateo-a_holbertonschool-csharp\0x01-csharp-ifelse_loops_methods\11-print_diagonal\11-print_diagonal.csproj,dotnet_project,dotnet,netcoreapp2.1,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\mateo-a_holbertonschool-csharp\0x01-csharp-ifelse_loops_methods\12-fizzbuzz\12-fizzbuzz.csproj,dotnet_project,dotnet,netcoreapp2.1,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\mateo-a_holbertonschool-csharp\0x01-csharp-ifelse_loops_methods\2-print_alphabet\2-print_alphabet.csproj,dotnet_project,dotnet,netcoreapp2.1,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\mateo-a_holbertonschool-csharp\0x01-csharp-ifelse_loops_methods\3-print_alphabt\3-print_alphabt.csproj,dotnet_project,dotnet,netcoreapp2.1,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\mateo-a_holbertonschool-csharp\0x01-csharp-ifelse_loops_methods\4-print_hexa\4-print_hexa.csproj,dotnet_project,dotnet,netcoreapp2.1,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\mateo-a_holbertonschool-csharp\0x01-csharp-ifelse_loops_methods\5-print_comb\5-print_comb.csproj,dotnet_project,dotnet,netcoreapp2.1,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\mateo-a_holbertonschool-csharp\0x01-csharp-ifelse_loops_methods\6-print_comb2\6-print_comb2.csproj,dotnet_project,dotnet,netcoreapp2.1,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\mateo-a_holbertonschool-csharp\0x01-csharp-ifelse_loops_methods\7-islower\7-islower.csproj,dotnet_project,dotnet,netcoreapp2.1,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\mateo-a_holbertonschool-csharp\0x01-csharp-ifelse_loops_methods\8-print_last_digit\8-print_last_digit.csproj,dotnet_project,dotnet,netcoreapp2.1,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\mateo-a_holbertonschool-csharp\0x01-csharp-ifelse_loops_methods\9-add\9-add.csproj,dotnet_project,dotnet,netcoreapp2.1,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\mateo-a_holbertonschool-csharp\0x02-csharp-arrays_lists_dictionaries\0-print_array\0-print_array.csproj,dotnet_project,dotnet,netcoreapp2.1,,,9.0.302,Unknown,Unknown
