project_path,project_type,build_method,target_framework,unity_version,note,host_dotnet_version,host_msbuild_version,host_unity_version
E:\1_my_project\dataset\repos\ChanyaVRC_VRCOscLib\src\Sample\AvatarParameterSender\AvatarParameterSender.csproj,dotnet_project,dotnet,net9.0-windows,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\ChanyaVRC_VRCOscLib\src\Sample\ChatboxSender\ChatboxSender.csproj,dotnet_project,dotnet,net9.0,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\ChanyaVRC_VRCOscLib\src\Sample\ExpressionAvatarChanger\ExpressionAvatarChanger.csproj,dotnet_project,dotnet,net9.0-windows,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\ChanyaVRC_VRCOscLib\src\Sample\GuiController\GuiController.csproj,dotnet_project,dotnet,net9.0-windows,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\ChanyaVRC_VRCOscLib\src\Sample\LogAvatarParametars\LogAvatarParametars.csproj,dotnet_project,dotnet,net9.0,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\ChanyaVRC_VRCOscLib\src\VRCOscLib\Tests\vrcosclib.OscUtilityInitialize.Test\vrcosclib.OscUtilityInitialize.Test.csproj,dotnet_project,dotnet,net9.0,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\ChanyaVRC_VRCOscLib\src\VRCOscLib\Tests\vrcosclib.Test\vrcosclib.Test.csproj,dotnet_project,dotnet,net9.0,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\ChanyaVRC_VRCOscLib\src\VRCOscLib\VRCOscLib\vrcosclib.csproj,dotnet_project,dotnet,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\chychen_air_writing\recognition\src\VR\AirWriting,unity,unity,,5.5.2f1,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\CircuitLord_NotReaper,unity,unity,,2019.2.21f1,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\cjb3768_VR-Fearless\Unity,unity,unity,,5.3.1f1,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\cog-ethz_EVE,unity,unity,,2018.4.21f1,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\comp159-fall17_final-project-prefabulous,unity,unity,,2017.2.0f3,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\concord-consortium_CEASAR,unity,unity,,2019.4.18f1,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\createthis_createthis_vr_ui,unity,unity,,5.6.1f1,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\dakyneko_DakyModsCVR\ActionMenu\ActionMenu.csproj,dotnet_project,dotnet,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\dakyneko_DakyModsCVR\ActionMenuAvatarsList\ActionMenuAvatarsList.csproj,dotnet_project,dotnet,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\dakyneko_DakyModsCVR\ActionMenuExampleMod\ActionMenuExampleMod.csproj,dotnet_project,dotnet,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\dakyneko_DakyModsCVR\CameraInstants\CameraInstants.csproj,dotnet_project,dotnet,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\dakyneko_DakyModsCVR\CameraRemote\CameraRemote.csproj,dotnet_project,dotnet,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\dakyneko_DakyModsCVR\CameraStar\CameraStar.csproj,dotnet_project,dotnet,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\dakyneko_DakyModsCVR\LagFreeScreenshots\LagFreeScreenshots.csproj,dotnet_project,dotnet,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\dakyneko_DakyModsCVR\MiniMap\MiniMap.csproj,dotnet_project,dotnet,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\dakyneko_DakyModsCVR\NoIntro\NoIntro.csproj,dotnet_project,dotnet,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\dakyneko_DakyModsCVR\PetAI\PetAI.csproj,dotnet_project,dotnet,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\dakyneko_DakyModsCVR\VRBinding\VRBinding.csproj,dotnet_project,dotnet,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\danielcolinjames_Terminal\Terminal,unity,unity,,5.6.0f3,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\danielcolinjames_Terminal\VR Samples,unity,unity,,5.5.0f3,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\dantman_elite-vr-cockpit,unity,unity,,2019.2.19f1,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\DaXcess_LCVR\LCVR.csproj,dotnet_project,dotnet,netstandard2.1,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\DaXcess_LCVR\Preloader\LCVR.Preload.csproj,dotnet_project,dotnet,netstandard2.1,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\ddoak_peppy,unity,unity,,2018.3.5f1,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\deanstein_CinderellaCityProject\CinderellaCitySimulation,unity,unity,,2019.1.9f1,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\demonixis_C3DE\C3DE\C3DE.Android.csproj,dotnet_project,dotnet,net6.0,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\demonixis_C3DE\C3DE\C3DE.csproj,dotnet_project,dotnet,net6.0-windows,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\demonixis_C3DE\C3DE\C3DE.Desktop.csproj,dotnet_project,dotnet,net6.0,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\demonixis_C3DE\C3DE.Demo\Morrowind\C3DE.Morrowind.csproj,dotnet_project,dotnet,net6.0-windows,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\demonixis_C3DE\C3DE.Demo\Shared\C3DE.Demo.Android.csproj,dotnet_project,dotnet,net6.0,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\demonixis_C3DE\C3DE.Demo\Shared\C3DE.Demo.csproj,dotnet_project,dotnet,net6.0-windows,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\demonixis_C3DE\C3DE.Demo\Shared\C3DE.Demo.Desktop.csproj,dotnet_project,dotnet,net6.0,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\demonixis_C3DE\C3DE.Demo\Windows\C3DE.DemoGame.csproj,dotnet_project,dotnet,net6.0-windows,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\demonixis_C3DE\C3DE.Demo\Windows\C3DE.DemoGame.Desktop.csproj,dotnet_project,dotnet,net6.0,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\demonixis_C3DE\C3DE.Editor\C3DE.Editor.csproj,dotnet_project,dotnet,net6.0-windows,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\demonixis_C3DE\C3DE.Editor\C3DE.Editor.Desktop.csproj,dotnet_project,dotnet,net6.0,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\demonixis_C3DE\C3DE.GwenUI\C3DE.GwenUI.csproj,dotnet_project,dotnet,net6.0-windows,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\demonixis_C3DE\C3DE.GwenUI\C3DE.GwenUI.Desktop.csproj,dotnet_project,dotnet,net6.0,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\dioram_Elektronik,unity,unity,,2020.2.6f1,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\dioram_Elektronik\Examples\csharp\csharp.Tests\csharp.Tests.csproj,dotnet_project,dotnet,netcoreapp3.1,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\dioram_Elektronik\plugins\Protobuf\Protobuf.csproj,dotnet_project,dotnet,netstandard2.0,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\dioram_Elektronik\plugins\Protobuf.Tests\Protobuf.Tests.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\dioram_Elektronik-Tools-2.0,unity,unity,,2021.1.17f1,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\dioram_Elektronik-Tools-2.0\plugins\ContextMenuSetter\ContextMenuSetter.csproj,dotnet_project,dotnet,net5.0,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\dioram_Elektronik-Tools-2.0\plugins\Protobuf\Protobuf.csproj,dotnet_project,dotnet,netstandard2.0,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\dioram_Elektronik-Tools-2.0\plugins\Protobuf.Tests.Elektronik\Protobuf.Tests.Elektronik.csproj,dotnet_project,dotnet,net5.0,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\dioram_Elektronik-Tools-2.0\plugins\Protobuf.Tests.Internal\Protobuf.Tests.Internal.csproj,dotnet_project,dotnet,net5.0,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\dioram_Elektronik-Tools-2.0\plugins\Ros\Ros.csproj,dotnet_project,dotnet,netstandard2.0,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\dioram_Elektronik-Tools-2.0\plugins\Ros.Exporter\Ros.Exporter.csproj,dotnet_project,dotnet,netcoreapp3.1,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\dioram_Elektronik-Tools-2.0\plugins\Ros.Tests\Ros.Tests.csproj,dotnet_project,dotnet,net5.0,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\dioram_Elektronik-Tools-2.0\plugins\RosMessageParserGenerator\RosMessageParserGenerator.csproj,dotnet_project,dotnet,netstandard2.0,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\dioram_Elektronik-Tools-2.0\plugins\Updater\Updater.csproj,dotnet_project,dotnet,netcoreapp3.1,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\dooly123_Basis\Basis,unity,unity,,6000.0.46f1,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\dooly123_Basis\Basis Server\BasisNetworkClient\BasisNetworkClient.csproj,dotnet_project,dotnet,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\dooly123_Basis\Basis Server\BasisNetworkClientConsole\BasisNetworkClientConsole\BasisNetworkClientConsole.csproj,dotnet_project,dotnet,net9.0,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\dooly123_Basis\Basis Server\BasisNetworkCore\BasisNetworkCore.csproj,dotnet_project,dotnet,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\dooly123_Basis\Basis Server\BasisNetworkServer\BasisNetworkServer.csproj,dotnet_project,dotnet,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\dooly123_Basis\Basis Server\BasisPrometheus\BasisPrometheus.csproj,dotnet_project,dotnet,net9.0,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\dooly123_Basis\Basis Server\BasisServerConsole\BasisNetworkConsole.csproj,dotnet_project,dotnet,net9.0,,,9.0.302,Unknown,Unknown
