"col0","URL for col0","source","URL for source","sink","URL for sink","col3"
"access to property deviceUniqueIdentifier","src/Assets/Scripts/_TestCases/Category9-Privacy/9.1P_Privacy_DeviceIdentifierLog_91_P.cs:9:30:9:62","access to property deviceUniqueIdentifier","src/Assets/Scripts/_TestCases/Category9-Privacy/9.1P_Privacy_DeviceIdentifierLog_91_P.cs:9:30:9:62","access to property deviceUniqueIdentifier","src/Assets/Scripts/_TestCases/Category9-Privacy/9.1P_Privacy_DeviceIdentifierLog_91_P.cs:9:30:9:62","Sensitive Unity data (device-identifier) reaches outbound application-log payload handling. Validate user action, recipient, endpoint, and serialized scene binding."
"access to local variable token","src/Assets/Scripts/_TestCases/Category9-Privacy/9.2P_Privacy_PlayerPrefsTokenHttp_92_P.cs:10:136:10:140","call to method GetString : String","src/Assets/Scripts/_TestCases/Category9-Privacy/9.2P_Privacy_PlayerPrefsTokenHttp_92_P.cs:10:35:10:71","access to local variable token","src/Assets/Scripts/_TestCases/Category9-Privacy/9.2P_Privacy_PlayerPrefsTokenHttp_92_P.cs:10:136:10:140","Sensitive Unity data (stored-credential-or-contact) reaches outbound http-request-body payload handling. Validate user action, recipient, endpoint, and serialized scene binding."
"(...) ...","src/Assets/Scripts/_TestCases/Category9-Privacy/9.3P_Privacy_HeadPoseLog_93_P.cs:10:31:10:52","access to property position : Vector3","src/Assets/Scripts/_TestCases/Category9-Privacy/9.3P_Privacy_HeadPoseLog_93_P.cs:10:31:10:52","(...) ...","src/Assets/Scripts/_TestCases/Category9-Privacy/9.3P_Privacy_HeadPoseLog_93_P.cs:10:31:10:52","Sensitive Unity data (xr-spatial-tracking) reaches outbound application-log payload handling. Validate user action, recipient, endpoint, and serialized scene binding."
"access to local variable voice","src/Assets/Scripts/_TestCases/Category9-Privacy/9.4P_Privacy_MicrophoneLog_94_P.cs:9:89:9:93","call to method Start : AudioClip","src/Assets/Scripts/_TestCases/Category9-Privacy/9.4P_Privacy_MicrophoneLog_94_P.cs:9:38:9:76","access to local variable voice","src/Assets/Scripts/_TestCases/Category9-Privacy/9.4P_Privacy_MicrophoneLog_94_P.cs:9:89:9:93","Sensitive Unity data (microphone-audio) reaches outbound application-log payload handling. Validate user action, recipient, endpoint, and serialized scene binding."
"(...) ...","src/Assets/Scripts/_TestCases/Category9-Privacy/9.5P_Privacy_LocationLog_95_P.cs:10:31:10:54","access to property lastData : LocationInfo","src/Assets/Scripts/_TestCases/Category9-Privacy/9.5P_Privacy_LocationLog_95_P.cs:10:31:10:54","(...) ...","src/Assets/Scripts/_TestCases/Category9-Privacy/9.5P_Privacy_LocationLog_95_P.cs:10:31:10:54","Sensitive Unity data (location) reaches outbound application-log payload handling. Validate user action, recipient, endpoint, and serialized scene binding."
"access to property systemCopyBuffer","src/Assets/Scripts/_TestCases/Category9-Privacy/9.6P_Privacy_ClipboardHttp_96_P.cs:10:77:10:103","access to property systemCopyBuffer","src/Assets/Scripts/_TestCases/Category9-Privacy/9.6P_Privacy_ClipboardHttp_96_P.cs:10:77:10:103","access to property systemCopyBuffer","src/Assets/Scripts/_TestCases/Category9-Privacy/9.6P_Privacy_ClipboardHttp_96_P.cs:10:77:10:103","Sensitive Unity data (clipboard-content) reaches outbound http-request-body payload handling. Validate user action, recipient, endpoint, and serialized scene binding."
"access to field _deviceId_97_P","src/Assets/Scripts/_TestCases/Category9-Privacy/9.7P_Privacy_LifecycleCoroutineLog_97_P.cs:13:65:13:78","access to property deviceUniqueIdentifier : String","src/Assets/Scripts/_TestCases/Category9-Privacy/9.7P_Privacy_LifecycleCoroutineLog_97_P.cs:11:37:11:69","access to field _deviceId_97_P","src/Assets/Scripts/_TestCases/Category9-Privacy/9.7P_Privacy_LifecycleCoroutineLog_97_P.cs:13:65:13:78","Sensitive Unity data (device-identifier) reaches outbound application-log payload handling. Validate user action, recipient, endpoint, and serialized scene binding."
