"col0","URL for col0","source","URL for source","sink","URL for sink","col3"
"access to indexer","src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.9P_ObjectIdentityHeap_DictionaryKeyIsolation_29_P.cs:22:33:22:60","call to method GetUIInput : String","src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.9P_ObjectIdentityHeap_DictionaryKeyIsolation_29_P.cs:16:40:16:63","access to indexer","src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.9P_ObjectIdentityHeap_DictionaryKeyIsolation_29_P.cs:22:33:22:60"," | SourceLoc: src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.9P_ObjectIdentityHeap_DictionaryKeyIsolation_29_P.cs:16:40:16:63 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.9P_ObjectIdentityHeap_DictionaryKeyIsolation_29_P.cs:22:33:22:60"
"access to field _payload_310_P","src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.10P_UnityLifecycle_StartUpdate_MultiFrame_310_P.cs:30:33:30:46","call to method GetNetworkInput : String","src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.10P_UnityLifecycle_StartUpdate_MultiFrame_310_P.cs:14:26:14:54","access to field _payload_310_P","src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.10P_UnityLifecycle_StartUpdate_MultiFrame_310_P.cs:30:33:30:46"," | SourceLoc: src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.10P_UnityLifecycle_StartUpdate_MultiFrame_310_P.cs:14:26:14:54 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.10P_UnityLifecycle_StartUpdate_MultiFrame_310_P.cs:30:33:30:46"
"access to field _payload_311_P","src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.11P_UnityLifecycle_Flow_311_P.cs:48:33:48:46","call to method GetNetworkInput : String","src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.11P_UnityLifecycle_Flow_311_P.cs:14:26:14:54","access to field _payload_311_P","src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.11P_UnityLifecycle_Flow_311_P.cs:48:33:48:46"," | SourceLoc: src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.11P_UnityLifecycle_Flow_311_P.cs:14:26:14:54 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.11P_UnityLifecycle_Flow_311_P.cs:48:33:48:46"
"access to field _payload_312_P","src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.12P_UnityLifecycle_InheritedBase_312_P.cs:9:63:9:76","call to method GetNetworkInput : String","src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.12P_UnityLifecycle_InheritedBase_312_P.cs:15:37:15:65","access to field _payload_312_P","src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.12P_UnityLifecycle_InheritedBase_312_P.cs:9:63:9:76"," | SourceLoc: src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.12P_UnityLifecycle_InheritedBase_312_P.cs:15:37:15:65 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.12P_UnityLifecycle_InheritedBase_312_P.cs:9:63:9:76"
"access to field _payload_314_P","src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.14P_UnityLifecycle_DisableReenableClosure_314_P.cs:13:45:13:58","call to method GetNetworkInput : String","src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.14P_UnityLifecycle_DisableReenableClosure_314_P.cs:11:61:11:89","access to field _payload_314_P","src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.14P_UnityLifecycle_DisableReenableClosure_314_P.cs:13:45:13:58"," | SourceLoc: src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.14P_UnityLifecycle_DisableReenableClosure_314_P.cs:11:61:11:89 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.14P_UnityLifecycle_DisableReenableClosure_314_P.cs:13:45:13:58"
"access to field _payload_315_P","src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.15P_UnityLifecycle_ConditionalEventKill_315_P.cs:12:45:12:58","call to method GetNetworkInput : String","src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.15P_UnityLifecycle_ConditionalEventKill_315_P.cs:10:37:10:65","access to field _payload_315_P","src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.15P_UnityLifecycle_ConditionalEventKill_315_P.cs:12:45:12:58"," | SourceLoc: src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.15P_UnityLifecycle_ConditionalEventKill_315_P.cs:10:37:10:65 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.15P_UnityLifecycle_ConditionalEventKill_315_P.cs:12:45:12:58"
"access to field _payload_31_P","src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.1P_UnityLifecycle_AwakeStart_Basic_31_P.cs:19:37:19:49","call to method GetNetworkInput : String","src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.1P_UnityLifecycle_AwakeStart_Basic_31_P.cs:13:25:13:53","access to field _payload_31_P","src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.1P_UnityLifecycle_AwakeStart_Basic_31_P.cs:19:37:19:49"," | SourceLoc: src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.1P_UnityLifecycle_AwakeStart_Basic_31_P.cs:13:25:13:53 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.1P_UnityLifecycle_AwakeStart_Basic_31_P.cs:19:37:19:49"
"access to field _payload_32_P","src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.2P_UnityLifecycle_StartUpdate_MultiFrame_32_P.cs:23:33:23:45","call to method GetNetworkInput : String","src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.2P_UnityLifecycle_StartUpdate_MultiFrame_32_P.cs:13:25:13:53","access to field _payload_32_P","src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.2P_UnityLifecycle_StartUpdate_MultiFrame_32_P.cs:23:33:23:45"," | SourceLoc: src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.2P_UnityLifecycle_StartUpdate_MultiFrame_32_P.cs:13:25:13:53 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.2P_UnityLifecycle_StartUpdate_MultiFrame_32_P.cs:23:33:23:45"
"access to field _payload_33_P","src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.3P_UnityLifecycle_OnEnableOnDisable_33_P.cs:24:37:24:49","call to method GetUIInput : String","src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.3P_UnityLifecycle_OnEnableOnDisable_33_P.cs:13:25:13:48","access to field _payload_33_P","src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.3P_UnityLifecycle_OnEnableOnDisable_33_P.cs:24:37:24:49"," | SourceLoc: src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.3P_UnityLifecycle_OnEnableOnDisable_33_P.cs:13:25:13:48 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.3P_UnityLifecycle_OnEnableOnDisable_33_P.cs:24:37:24:49"
"access to field _payload_34_P","src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.4P_UnityLifecycle_FixedUpdateLateUpdate_34_P.cs:22:37:22:49","call to method GetNetworkInput : String","src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.4P_UnityLifecycle_FixedUpdateLateUpdate_34_P.cs:15:25:15:53","access to field _payload_34_P","src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.4P_UnityLifecycle_FixedUpdateLateUpdate_34_P.cs:22:37:22:49"," | SourceLoc: src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.4P_UnityLifecycle_FixedUpdateLateUpdate_34_P.cs:15:25:15:53 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.4P_UnityLifecycle_FixedUpdateLateUpdate_34_P.cs:22:37:22:49"
"access to field _payload_35_P","src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.5P_UnityLifecycle_UpdateSelfLoop_35_P.cs:14:37:14:49","call to method GetNetworkInput : String","src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.5P_UnityLifecycle_UpdateSelfLoop_35_P.cs:18:29:18:57","access to field _payload_35_P","src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.5P_UnityLifecycle_UpdateSelfLoop_35_P.cs:14:37:14:49"," | SourceLoc: src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.5P_UnityLifecycle_UpdateSelfLoop_35_P.cs:18:29:18:57 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.5P_UnityLifecycle_UpdateSelfLoop_35_P.cs:14:37:14:49"
"access to field _payload_36_P","src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.6P_UnityLifecycle_Chain_AwakeStartUpdate_36_P.cs:25:37:25:49","call to method GetNetworkInput : String","src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.6P_UnityLifecycle_Chain_AwakeStartUpdate_36_P.cs:13:25:13:53","access to field _payload_36_P","src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.6P_UnityLifecycle_Chain_AwakeStartUpdate_36_P.cs:25:37:25:49"," | SourceLoc: src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.6P_UnityLifecycle_Chain_AwakeStartUpdate_36_P.cs:13:25:13:53 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.6P_UnityLifecycle_Chain_AwakeStartUpdate_36_P.cs:25:37:25:49"
"access to field _payload_37_N","src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.7N_UnityLifecycle_Branch_CFG_37_N.cs:29:37:29:49","call to method GetNetworkInput : String","src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.7N_UnityLifecycle_Branch_CFG_37_N.cs:15:25:15:53","access to field _payload_37_N","src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.7N_UnityLifecycle_Branch_CFG_37_N.cs:29:37:29:49"," | SourceLoc: src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.7N_UnityLifecycle_Branch_CFG_37_N.cs:15:25:15:53 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.7N_UnityLifecycle_Branch_CFG_37_N.cs:29:37:29:49"
"access to field _payload_37_P","src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.7P_UnityLifecycle_Branch_CFG_37_P.cs:28:37:28:49","call to method GetNetworkInput : String","src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.7P_UnityLifecycle_Branch_CFG_37_P.cs:21:29:21:57","access to field _payload_37_P","src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.7P_UnityLifecycle_Branch_CFG_37_P.cs:28:37:28:49"," | SourceLoc: src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.7P_UnityLifecycle_Branch_CFG_37_P.cs:21:29:21:57 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.7P_UnityLifecycle_Branch_CFG_37_P.cs:28:37:28:49"
"access to field _payload_38_P","src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.8P_UnityLifecycle_OutParameter_38_P.cs:25:37:25:49","call to method GetNetworkInput : String","src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.8P_UnityLifecycle_OutParameter_38_P.cs:14:18:14:46","access to field _payload_38_P","src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.8P_UnityLifecycle_OutParameter_38_P.cs:25:37:25:49"," | SourceLoc: src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.8P_UnityLifecycle_OutParameter_38_P.cs:14:18:14:46 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.8P_UnityLifecycle_OutParameter_38_P.cs:25:37:25:49"
"access to local variable _payload_39_P_T","src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.9P_UnityLifecycle_Complex_39_P.cs:25:33:25:47","call to method GetNetworkInput : String","src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.9P_UnityLifecycle_Complex_39_P.cs:13:25:13:53","access to local variable _payload_39_P_T","src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.9P_UnityLifecycle_Complex_39_P.cs:25:33:25:47"," | SourceLoc: src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.9P_UnityLifecycle_Complex_39_P.cs:13:25:13:53 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category3-UnityLifecycle/3.9P_UnityLifecycle_Complex_39_P.cs:25:33:25:47"
"access to field _payload_410_P","src/Assets/Scripts/_TestCases/Category4-AsyncTemporal/4.10P_AsyncTemporal_PreYieldRead_410_P.cs:12:58:12:71","call to method GetNetworkInput : String","src/Assets/Scripts/_TestCases/Category4-AsyncTemporal/4.10P_AsyncTemporal_PreYieldRead_410_P.cs:11:37:11:65","access to field _payload_410_P","src/Assets/Scripts/_TestCases/Category4-AsyncTemporal/4.10P_AsyncTemporal_PreYieldRead_410_P.cs:12:58:12:71"," | SourceLoc: src/Assets/Scripts/_TestCases/Category4-AsyncTemporal/4.10P_AsyncTemporal_PreYieldRead_410_P.cs:11:37:11:65 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category4-AsyncTemporal/4.10P_AsyncTemporal_PreYieldRead_410_P.cs:12:58:12:71"
"access to field _payload_41_N","src/Assets/Scripts/_TestCases/Category4-AsyncTemporal/4.1N_AsyncTemporal_AsyncAwaitDefiniteClean_41_N.cs:17:33:17:45","call to method GetUIInput : String","src/Assets/Scripts/_TestCases/Category4-AsyncTemporal/4.1N_AsyncTemporal_AsyncAwaitDefiniteClean_41_N.cs:15:25:15:48","access to field _payload_41_N","src/Assets/Scripts/_TestCases/Category4-AsyncTemporal/4.1N_AsyncTemporal_AsyncAwaitDefiniteClean_41_N.cs:17:33:17:45"," | SourceLoc: src/Assets/Scripts/_TestCases/Category4-AsyncTemporal/4.1N_AsyncTemporal_AsyncAwaitDefiniteClean_41_N.cs:15:25:15:48 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category4-AsyncTemporal/4.1N_AsyncTemporal_AsyncAwaitDefiniteClean_41_N.cs:17:33:17:45"
"access to parameter value","src/Assets/Scripts/_TestCases/Category4-AsyncTemporal/4.2P_AsyncTemporal_DirectParameter_42_P.cs:11:89:11:93","call to method GetNetworkInput : String","src/Assets/Scripts/_TestCases/Category4-AsyncTemporal/4.2P_AsyncTemporal_DirectParameter_42_P.cs:10:40:10:68","access to parameter value","src/Assets/Scripts/_TestCases/Category4-AsyncTemporal/4.2P_AsyncTemporal_DirectParameter_42_P.cs:11:89:11:93"," | SourceLoc: src/Assets/Scripts/_TestCases/Category4-AsyncTemporal/4.2P_AsyncTemporal_DirectParameter_42_P.cs:10:40:10:68 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category4-AsyncTemporal/4.2P_AsyncTemporal_DirectParameter_42_P.cs:11:89:11:93"
"access to field _payload_43_P","src/Assets/Scripts/_TestCases/Category4-AsyncTemporal/4.3P_AsyncTemporal_DirectField_43_P.cs:12:77:12:89","call to method GetNetworkInput : String","src/Assets/Scripts/_TestCases/Category4-AsyncTemporal/4.3P_AsyncTemporal_DirectField_43_P.cs:11:36:11:64","access to field _payload_43_P","src/Assets/Scripts/_TestCases/Category4-AsyncTemporal/4.3P_AsyncTemporal_DirectField_43_P.cs:12:77:12:89"," | SourceLoc: src/Assets/Scripts/_TestCases/Category4-AsyncTemporal/4.3P_AsyncTemporal_DirectField_43_P.cs:11:36:11:64 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category4-AsyncTemporal/4.3P_AsyncTemporal_DirectField_43_P.cs:12:77:12:89"
"access to field _payload_47_P","src/Assets/Scripts/_TestCases/Category4-AsyncTemporal/4.7P_AsyncTemporal_DirectHelper_47_P.cs:13:77:13:89","call to method GetNetworkInput : String","src/Assets/Scripts/_TestCases/Category4-AsyncTemporal/4.7P_AsyncTemporal_DirectHelper_47_P.cs:12:46:12:74","access to field _payload_47_P","src/Assets/Scripts/_TestCases/Category4-AsyncTemporal/4.7P_AsyncTemporal_DirectHelper_47_P.cs:13:77:13:89"," | SourceLoc: src/Assets/Scripts/_TestCases/Category4-AsyncTemporal/4.7P_AsyncTemporal_DirectHelper_47_P.cs:12:46:12:74 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category4-AsyncTemporal/4.7P_AsyncTemporal_DirectHelper_47_P.cs:13:77:13:89"
"access to field _payload_48_P","src/Assets/Scripts/_TestCases/Category4-AsyncTemporal/4.8P_AsyncTemporal_ConditionalRewrite_48_P.cs:13:77:13:89","call to method GetNetworkInput : String","src/Assets/Scripts/_TestCases/Category4-AsyncTemporal/4.8P_AsyncTemporal_ConditionalRewrite_48_P.cs:12:80:12:108","access to field _payload_48_P","src/Assets/Scripts/_TestCases/Category4-AsyncTemporal/4.8P_AsyncTemporal_ConditionalRewrite_48_P.cs:13:77:13:89"," | SourceLoc: src/Assets/Scripts/_TestCases/Category4-AsyncTemporal/4.8P_AsyncTemporal_ConditionalRewrite_48_P.cs:12:80:12:108 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category4-AsyncTemporal/4.8P_AsyncTemporal_ConditionalRewrite_48_P.cs:13:77:13:89"
"access to field _payload_49_P","src/Assets/Scripts/_TestCases/Category4-AsyncTemporal/4.9P_AsyncTemporal_InvokeRepeatingField_49_P.cs:11:51:11:63","call to method GetNetworkInput : String","src/Assets/Scripts/_TestCases/Category4-AsyncTemporal/4.9P_AsyncTemporal_InvokeRepeatingField_49_P.cs:10:36:10:64","access to field _payload_49_P","src/Assets/Scripts/_TestCases/Category4-AsyncTemporal/4.9P_AsyncTemporal_InvokeRepeatingField_49_P.cs:11:51:11:63"," | SourceLoc: src/Assets/Scripts/_TestCases/Category4-AsyncTemporal/4.9P_AsyncTemporal_InvokeRepeatingField_49_P.cs:10:36:10:64 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category4-AsyncTemporal/4.9P_AsyncTemporal_InvokeRepeatingField_49_P.cs:11:51:11:63"
"access to field _payload_511_P","src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.11P_DynamicInvocation_Nameof_511_P.cs:12:77:12:90","call to method GetNetworkInput : String","src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.11P_DynamicInvocation_Nameof_511_P.cs:11:37:11:65","access to field _payload_511_P","src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.11P_DynamicInvocation_Nameof_511_P.cs:12:77:12:90"," | SourceLoc: src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.11P_DynamicInvocation_Nameof_511_P.cs:11:37:11:65 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.11P_DynamicInvocation_Nameof_511_P.cs:12:77:12:90"
"call to method ToString","src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.12P_DynamicInvocation_StringPayload_512_P.cs:11:89:11:104","call to method GetNetworkInput : String","src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.12P_DynamicInvocation_StringPayload_512_P.cs:10:43:10:71","call to method ToString","src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.12P_DynamicInvocation_StringPayload_512_P.cs:11:89:11:104"," | SourceLoc: src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.12P_DynamicInvocation_StringPayload_512_P.cs:10:43:10:71 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.12P_DynamicInvocation_StringPayload_512_P.cs:11:89:11:104"
"access to field _payload_516_P","src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.16P_DynamicInvocation_Inherited_516_P.cs:10:79:10:92","call to method GetNetworkInput : String","src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.16P_DynamicInvocation_Inherited_516_P.cs:15:37:15:65","access to field _payload_516_P","src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.16P_DynamicInvocation_Inherited_516_P.cs:10:79:10:92"," | SourceLoc: src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.16P_DynamicInvocation_Inherited_516_P.cs:15:37:15:65 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.16P_DynamicInvocation_Inherited_516_P.cs:10:79:10:92"
"call to method ToString","src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.17P_DynamicInvocation_BroadcastMessagePayload_517_P.cs:10:75:10:90","call to method GetNetworkInput : String","src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.17P_DynamicInvocation_BroadcastMessagePayload_517_P.cs:9:57:9:85","call to method ToString","src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.17P_DynamicInvocation_BroadcastMessagePayload_517_P.cs:10:75:10:90"," | SourceLoc: src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.17P_DynamicInvocation_BroadcastMessagePayload_517_P.cs:9:57:9:85 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.17P_DynamicInvocation_BroadcastMessagePayload_517_P.cs:10:75:10:90"
"access to field _payload_51_P","src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.1P_DynamicInvocation_Invoke_51_P.cs:20:16:20:28","call to method GetUIInput : String","src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.1P_DynamicInvocation_Invoke_51_P.cs:15:25:15:48","access to field _payload_51_P","src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.1P_DynamicInvocation_Invoke_51_P.cs:20:16:20:28"," | SourceLoc: src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.1P_DynamicInvocation_Invoke_51_P.cs:15:25:15:48 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.1P_DynamicInvocation_Invoke_51_P.cs:20:16:20:28"
"access to field _payload_52_P","src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.2P_DynamicInvocation_Invoke_Callback_52_P.cs:26:37:26:49","call to method GetUIInput : String","src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.2P_DynamicInvocation_Invoke_Callback_52_P.cs:15:25:15:48","access to field _payload_52_P","src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.2P_DynamicInvocation_Invoke_Callback_52_P.cs:26:37:26:49"," | SourceLoc: src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.2P_DynamicInvocation_Invoke_Callback_52_P.cs:15:25:15:48 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.2P_DynamicInvocation_Invoke_Callback_52_P.cs:26:37:26:49"
"access to field _payload_53_P","src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.3P_DynamicInvocation_StartCoroutine_53_P.cs:20:24:20:36","call to method GetNetworkInput : String","src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.3P_DynamicInvocation_StartCoroutine_53_P.cs:15:25:15:53","access to field _payload_53_P","src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.3P_DynamicInvocation_StartCoroutine_53_P.cs:20:24:20:36"," | SourceLoc: src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.3P_DynamicInvocation_StartCoroutine_53_P.cs:15:25:15:53 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.3P_DynamicInvocation_StartCoroutine_53_P.cs:20:24:20:36"
"access to field _payload_54_P","src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.4P_DynamicInvocation_StartCoroutine_Callback_54_P.cs:28:37:28:49","call to method GetNetworkInput : String","src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.4P_DynamicInvocation_StartCoroutine_Callback_54_P.cs:16:25:16:53","access to field _payload_54_P","src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.4P_DynamicInvocation_StartCoroutine_Callback_54_P.cs:28:37:28:49"," | SourceLoc: src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.4P_DynamicInvocation_StartCoroutine_Callback_54_P.cs:16:25:16:53 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.4P_DynamicInvocation_StartCoroutine_Callback_54_P.cs:28:37:28:49"
"access to field _payload_55_P","src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.5P_DynamicInvocation_SendMessage_55_P.cs:20:32:20:44","call to method GetUIInput : String","src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.5P_DynamicInvocation_SendMessage_55_P.cs:15:25:15:48","access to field _payload_55_P","src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.5P_DynamicInvocation_SendMessage_55_P.cs:20:32:20:44"," | SourceLoc: src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.5P_DynamicInvocation_SendMessage_55_P.cs:15:25:15:48 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.5P_DynamicInvocation_SendMessage_55_P.cs:20:32:20:44"
"access to parameter _payload_56_P_T","src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.6P_DynamicInvocation_SendMessage_Callback_56_P.cs:26:37:26:51","call to method GetUIInput : String","src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.6P_DynamicInvocation_SendMessage_Callback_56_P.cs:15:25:15:48","access to parameter _payload_56_P_T","src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.6P_DynamicInvocation_SendMessage_Callback_56_P.cs:26:37:26:51"," | SourceLoc: src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.6P_DynamicInvocation_SendMessage_Callback_56_P.cs:15:25:15:48 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.6P_DynamicInvocation_SendMessage_Callback_56_P.cs:26:37:26:51"
"array creation of type Object[]","src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.7P_DynamicInvocation_MethodInfoInvoke_57_P.cs:24:40:24:69","call to method GetNetworkInput : String","src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.7P_DynamicInvocation_MethodInfoInvoke_57_P.cs:17:25:17:53","array creation of type Object[]","src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.7P_DynamicInvocation_MethodInfoInvoke_57_P.cs:24:40:24:69"," | SourceLoc: src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.7P_DynamicInvocation_MethodInfoInvoke_57_P.cs:17:25:17:53 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.7P_DynamicInvocation_MethodInfoInvoke_57_P.cs:24:40:24:69"
"access to field _payload_57_P","src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.7P_DynamicInvocation_MethodInfoInvoke_57_P.cs:24:55:24:67","call to method GetNetworkInput : String","src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.7P_DynamicInvocation_MethodInfoInvoke_57_P.cs:17:25:17:53","access to field _payload_57_P","src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.7P_DynamicInvocation_MethodInfoInvoke_57_P.cs:24:55:24:67"," | SourceLoc: src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.7P_DynamicInvocation_MethodInfoInvoke_57_P.cs:17:25:17:53 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category5-DynamicInvocation/5.7P_DynamicInvocation_MethodInfoInvoke_57_P.cs:24:55:24:67"
