project,StartCoroutine,MonoBehaviour.Invoke,InvokeRepeating,SendMessage,SendMessageUpwards,BroadcastMessage,UnityEvent.Invoke,UnityEvent.AddListener,System.Type.GetMethod,System.Reflection.MethodInfo.Invoke,async_methods,await_expressions,Task_usage,Awaitable_usage,total_target_apis
VRcade,19,0,0,0,0,0,10,14,0,0,0,0,0,0,43
VRobot,35,0,2,4,0,1,24,39,7,1,15,0,1,0,113
Vr-Polyhistory,15,1,0,1,0,2,8,6,2,0,0,0,0,0,35
XRToolkitMVP,5,1,0,0,0,0,11,12,0,0,0,0,0,0,29
ar-resilience-planner-v2,2,0,0,0,0,0,12,1,0,0,0,0,0,0,15
bpr2,17,1,0,0,0,0,24,10,1,0,28,54,36,0,53
bworkacikart,2,0,1,0,0,0,0,6,0,0,0,0,0,0,9
classroom-vr,2,0,0,0,0,0,15,14,1,0,4,0,71,0,32
dotpool-unity,1,0,0,0,0,0,0,6,0,0,0,0,0,0,7
freiheit-diy,70,1,1,0,0,0,299,91,10,1,7,4,6,0,473
neanderthal-tools,22,0,0,0,0,0,30,11,1,0,3,2,2,0,64
plane-waver,8,0,0,0,0,0,12,8,3,0,0,0,0,0,31
project-god-hammer,16,1,0,0,0,0,5,26,0,0,0,0,0,0,48
simon-says-vr,3,0,0,0,0,0,3,4,0,0,0,0,0,0,10
the-hole,1,0,0,0,0,0,0,6,0,0,0,0,0,0,7
unity-basic-xr-template,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
visio,5,0,0,0,0,0,3,6,0,0,0,0,0,0,14
vr-brush,2,0,0,0,0,0,0,4,0,0,0,0,3,0,6
vr-handwriting,12,0,0,0,0,0,1,6,1,0,0,0,0,0,20
vr_selection,9,4,0,0,0,0,7,3,1,0,1,0,0,0,24
wheelchair-sim,5,2,0,0,0,0,0,0,0,0,0,0,0,0,7
wind-turbine-vr,11,0,0,0,0,0,24,43,0,0,0,0,24,0,78
ymiyp-vr,2,0,0,0,0,0,6,2,0,0,0,0,0,0,10
