project,loc,category,mechanism,api,owner,detail
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRCommon.cs:672:14:672:18,Lifecycle-Driven State Flows,Initialization,Reset,OVRNativeBuffer,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRDebugHeadController.cs:72:7:72:11,Lifecycle-Driven State Flows,Initialization,Awake,OVRDebugHeadController,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRDebugHeadController.cs:86:7:86:11,Lifecycle-Driven State Flows,Initialization,Start,OVRDebugHeadController,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRDebugHeadController.cs:92:7:92:12,Lifecycle-Driven State Flows,GameLogic,Update,OVRDebugHeadController,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRDebugHeadController.cs:78:4:78:62,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,OVRDebugHeadController,callback=OVRCamParent: No OVRCameraRig attached.; target name unresolvable (UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRDebugHeadController.cs:80:4:80:71,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,OVRDebugHeadController,callback=OVRCamParent: More then 1 OVRCameraRig attached.; target name unresolvable (UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRDisplay.cs:125:14:125:19,Lifecycle-Driven State Flows,GameLogic,Update,OVRDisplay,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRDisplay.cs:131:4:131:39,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,OVRDisplay,callback=Recenter event detected; target name unresolvable (UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRDisplay.cs:146:5:146:40,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,OVRDisplay,callback=Recenter event detected; target name unresolvable (UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVREyeGaze.cs:84:18:84:22,Lifecycle-Driven State Flows,Initialization,Awake,OVREyeGaze,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVREyeGaze.cs:89:18:89:22,Lifecycle-Driven State Flows,Initialization,Start,OVREyeGaze,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVREyeGaze.cs:94:18:94:25,Lifecycle-Driven State Flows,Initialization,OnEnable,OVREyeGaze,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVREyeGaze.cs:131:18:131:26,Lifecycle-Driven State Flows,DecommissionOrApplication,OnDisable,OVREyeGaze,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVREyeGaze.cs:139:18:139:26,Lifecycle-Driven State Flows,DecommissionOrApplication,OnDestroy,OVREyeGaze,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVREyeGaze.cs:144:18:144:23,Lifecycle-Driven State Flows,GameLogic,Update,OVREyeGaze,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRFaceExpressions.cs:89:18:89:22,Lifecycle-Driven State Flows,Initialization,Awake,OVRFaceExpressions,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRFaceExpressions.cs:94:18:94:25,Lifecycle-Driven State Flows,Initialization,OnEnable,OVRFaceExpressions,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRFaceExpressions.cs:131:18:131:26,Lifecycle-Driven State Flows,DecommissionOrApplication,OnDisable,OVRFaceExpressions,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRFaceExpressions.cs:139:18:139:26,Lifecycle-Driven State Flows,DecommissionOrApplication,OnDestroy,OVRFaceExpressions,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRFaceExpressions.cs:144:18:144:23,Lifecycle-Driven State Flows,GameLogic,Update,OVRFaceExpressions,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRFaceExpressions.cs:403:21:403:25,Lifecycle-Driven State Flows,Initialization,Reset,FaceExpressionsEnumerator,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRGLTFAccessor.cs:108:5:108:48,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,OVRGLTFAccessor,callback=Unsupported accessor type.; target name unresolvable (UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRGLTFAccessor.cs:117:4:117:67,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,OVRGLTFAccessor,callback=Tried to read non-scalar data as a uint array.; target name unresolvable (UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRGLTFAccessor.cs:123:4:123:64,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,OVRGLTFAccessor,callback=Chunk length is not equal to buffer length.; target name unresolvable (UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRGLTFAccessor.cs:143:4:143:67,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,OVRGLTFAccessor,callback=Tried to read non-scalar data as a uint array.; target name unresolvable (UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRGLTFAccessor.cs:149:4:149:64,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,OVRGLTFAccessor,callback=Chunk length is not equal to buffer length.; target name unresolvable (UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRGLTFAccessor.cs:169:4:169:65,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,OVRGLTFAccessor,callback=Tried to read non-vec3 data as a vec2 array.; target name unresolvable (UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRGLTFAccessor.cs:175:4:175:64,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,OVRGLTFAccessor,callback=Chunk length is not equal to buffer length.; target name unresolvable (UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRGLTFAccessor.cs:200:4:200:65,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,OVRGLTFAccessor,callback=Tried to read non-vec3 data as a vec3 array.; target name unresolvable (UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRGLTFAccessor.cs:206:4:206:64,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,OVRGLTFAccessor,callback=Chunk length is not equal to buffer length.; target name unresolvable (UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRGLTFAccessor.cs:239:4:239:65,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,OVRGLTFAccessor,callback=Tried to read non-vec4 data as a vec4 array.; target name unresolvable (UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRGLTFAccessor.cs:245:4:245:64,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,OVRGLTFAccessor,callback=Chunk length is not equal to buffer length.; target name unresolvable (UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRGLTFAccessor.cs:280:4:280:67,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,OVRGLTFAccessor,callback=Tried to read non-color type as a color array.; target name unresolvable (UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRGLTFAccessor.cs:286:4:286:64,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,OVRGLTFAccessor,callback=Chunk length is not equal to buffer length.; target name unresolvable (UnityEngine types unavailable)
